Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVIDunavailable9,Public Services During COVIDunavailable9,Electronic Materials Added Due to COVIDunavailable9,Electronic Library Cards Issued Before COVIDunavailable9,Electronic Library Cards Issued During COVIDunavailable9,Reference Service During COVIDunavailable9,Outside Service During COVIDunavailable9,Live Virtual Programs During COVIDunavailable9,Recordings of Program Content During COVIDunavailable9,External WiFi Access Before COVIDunavailable9,External WiFi Access Added During COVIDunavailable9,External WiFi Access Increased During COVIDunavailable9,Staff Re-Assigned During COVIDunavailable9,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs (calculated),"# of Children's Programs - Live, In-person","# of Children's Programs - Live, Virtual",Children's Program Attendance,"Children's Program Attendance - Live, In-person","Children's Program Attendance - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,FSCS ID,Fiscal Year
FRESNO COUNTY PUBLIC LIBRARY,Fresno,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,2420 MARIPOSA ST.,FRESNO,93721,2285,(559) 600-6237,(559) 600-7323,http://www.fresnolibrary.org,"4,999.48",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"998,860","252,593","37,613",1,36,1,38,"285,374","$33,396,218 ","$224,781 ","$886,055 ","$1,289,402 ","$35,796,456 ","$50,000 ",$0 ,$0 ,"$140,476 ","$190,476 ","$11,386,285 ","$9,395,158 ","$20,781,443 ","$721,376 ","$83,051 ","$804,427 ","$948,273 ","$776,217 ","$2,528,917 ","$6,491,062 ","$29,801,422 ","$305,201 ",325,54,54,216.7,270.7,23,"261,319","57,435","671,985","59,834","77,200","24,925","98,890",706,15,2,17,870,unavailable,"1,696,656",Annual Estimate Based on Typical Week(s),"159,835",Annual Estimate Based on Typical Week(s),"1,893,902","764,477","52,583","732,820","422,502","1,155,322","2,626,722","3,049,224",16,878,"2,785",,,"38,162",,,880,,,"6,078",,,"1,933",,,"20,268",,,418,"12,644","5,598","64,508",49,"3,581",0,Yes,"292,578","2,066,866","81,759",375,CA0040,19-20
FULLERTON PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,353 W. COMMONWEALTH AVE.,FULLERTON,92832,1796,(714) 738-6380,(714) 738-6326,www.fullertonlibrary.org,22,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,"141,863","132,427","8,343",1,0,0,1,"62,553","$4,142,887 ","$7,984 ",$0 ,"$323,545 ","$4,474,416 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,772,392 ","$700,216 ","$2,472,608 ","$135,382 ","$6,845 ","$142,227 ","$112,362 ","$6,898 ","$261,487 ","$1,410,510 ","$4,144,605 ",$0 ,70,12,13,23,36,8,"82,608","2,061","177,032","8,306","3,865","2,609","12,522",0,23,1,24,140,"2,015","360,586",Annual Count,"47,915",Annual Count,"326,791","227,826","4,756","49,835",unavailable,"49,835","376,626","376,626",130,10,310,310,0,"13,473","13,473",0,62,58,4,"1,191","1,179",12,121,111,10,"1,235","1,204",31,36,"2,032",493,"15,899",166,"8,540",0,Yes,"34,402","571,463","28,880",56,CA0041,19-20
"GLENDALE LIBRARY, ARTS & CULTURE",Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,222 E. HARVARD ST.,GLENDALE,91205,1075,(818) 548-2030,(818) 548-2021,http://glendalepubliclibrary.org,31,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"205,331","160,468","34,246",1,7,0,8,"155,862","$10,571,445 ","$76,140 ","$8,000 ","$444,243 ","$11,099,828 ","$1,495,837 ",$0 ,$0 ,$0 ,"$1,495,837 ","$4,935,846 ","$2,428,546 ","$7,364,392 ","$399,691 ","$42,822 ","$442,513 ","$392,241 ","$82,288 ","$917,042 ","$2,290,011 ","$10,571,445 ","$161,394 ",135,26.13,26.13,57.45,83.58,0.68,"101,399","9,966","372,431","885,306","53,156","227,576","26,780","17,716",61,3,64,796,"10,971","667,559",Annual Count,"31,440",Annual Estimate Based on Typical Week(s),"793,059","413,527","39,971","170,495","187,923","358,418","963,554","1,151,477","41,020","20,418","1,553",,,"41,836",,,117,,,543,,,506,,,"10,272",,,246,"2,824","2,176","52,651",50,"5,786",0,Yes,"53,435","423,809","281,037",148,CA0042,19-20
GLENDORA LIBRARY & CULTURAL CENTER,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,140 SOUTH GLENDORA AVE.,GLENDORA,91741,3499,(626) 852-4891,(626) 852-4891,http://www.glendoralibrary.org,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"52,067","29,001","4,495",1,0,0,1,"30,000","$2,116,089 ","$28,037 ",$0 ,"$120,063 ","$2,264,189 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,010,176 ","$290,841 ","$1,301,017 ","$53,291 ","$12,707 ","$65,998 ","$88,402 ","$7,194 ","$161,594 ","$541,132 ","$2,003,743 ",$0 ,31,6.63,6.63,13.27,19.9,1.86,"22,224","4,238","84,025","163,148","8,604","7,713","7,931",212,22,3,25,154,"1,789","169,504",Annual Count,"23,502",Annual Estimate Based on Typical Week(s),"163,825","86,213",814,"33,494","84,206","117,700","197,319","281,525",318,132,530,473,57,"24,188","23,524",664,45,17,28,816,652,164,114,60,54,"1,571","1,373",198,43,"1,668",689,"26,575",53,unavailable,unavailable,No,"13,195","130,922","423,826",16,CA0043,19-20
GOLETA VALLEY LIBRARY,Santa Barbara,,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,City/County,Black Gold Cooperative Library System,500 N. FAIRVIEW AVE.,GOLETA,93117,1797,(805) 964-7878,(805) 964-7878,https://www.cityofgoleta.org/city-hall/goleta-valley-library,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"110,072","17,841","1,870",1,2,0,3,"19,205","$1,345,680 ",$0 ,$0 ,"$112,422 ","$1,458,102 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,022,025 ","$280,050 ","$1,302,075 ","$149,221 ",$0 ,"$149,221 ","$108,811 ","$294,008 ","$552,040 ","$626,312 ","$2,480,427 ",$0 ,34,2,2,11,13,2.4,"44,430","2,923","168,754","15,328","8,469","24,195","15,406","9,515",2,2,4,89,"5,330","286,875",Annual Count,"43,551",Annual Estimate Based on Typical Week(s),"535,897","248,640","15,245","128,703","6,445","135,148","664,600","671,045","46,649","62,542",676,617,59,"19,781","18,603","1,178",24,24,0,145,145,0,258,212,46,"3,143","2,765",378,45,"5,230",958,"23,069",40,"9,274",unavailable,No,"18,626","71,145",unavailable,34,CA0271,19-20
HARRISON MEMORIAL LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,OCEAN & LINCOLN AVE.,CARMEL,93921,800,(831) 624-1366,(831) 624-7323,http://ci.carmel.ca.us/library,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"3,949","8,751",545,1,1,0,2,"15,282","$1,092,807 ","$10,199 ",$0 ,"$279,985 ","$1,382,991 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$823,857 ","$268,502 ","$1,092,359 ","$79,267 ","$5,264 ","$84,531 ","$54,251 ","$13,358 ","$152,140 ","$116,816 ","$1,361,315 ",$0 ,6.5,4,4,2.5,6.5,0.24,"12,272","1,593","45,403","464,511","3,612","129,226","6,044","41,607",31,3,34,88,"3,312","64,541",Annual Count,"13,579",Annual Count,"84,810","28,121",unavailable,"27,079","10,215","37,294","111,889","122,104",241,31,104,,,"2,780",,,1,,,2,,,21,,,"1,282",,,15,"1,192",126,"4,064",5,93,unavailable,No,"5,433","37,620","5,912",16,CA0021,19-20
HAYWARD PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,888 C STREET,HAYWARD,94541,5101,(510) 881-7954,(510) 293-8685,hayward-ca.gov/public-library,56,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"160,311","127,656","36,852",1,1,0,2,"66,567","$5,660,638 ","$101,317 ","$184,516 ","$84,026 ","$6,030,497 ","$421,458 ",$0 ,$0 ,$0 ,"$421,458 ","$2,635,284 ","$1,292,305 ","$3,927,589 ","$106,972 ","$11,570 ","$118,542 ","$108,900 ","$44,426 ","$271,868 ","$1,461,181 ","$5,660,638 ","$421,458 ",61,10,12.5,24.8,37.3,2,"62,874","4,887","168,204","451,807","8,232","132,729","26,311","39,201",2,2,4,170,"2,935","315,926",Annual Count,"4,213",Annual Count,"279,959","146,476","14,511","28,735","2,037","30,772","308,694","310,731","2,651","2,781",282,282,0,"11,984","11,984",0,28,28,0,"1,078","1,078",0,33,32,1,408,358,50,28,351,343,"13,470",0,0,0,No,"12,735",unavailable,unavailable,63,CA0044,19-20
HEMET PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,300 E. LATHAM AVE,HEMET,92543,4222,(951) 765-2440,(951) 765-2440,www.hemetca.gov/library ,27.56,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"85,175","145,012","37,797",1,0,0,1,"34,602","$1,612,274 ","$18,600 ","$5,000 ","$11,000 ","$1,646,874 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$428,000 ","$348,300 ","$776,300 ","$94,476 ","$4,632 ","$99,108 ","$30,587 ","$7,000 ","$136,695 ","$664,207 ","$1,577,202 ",$0 ,9,2,2,6.5,8.5,21.25,"23,936","6,011","73,335","436,369","3,263","116,886","6,700","17,416",6,3,9,98,"1,406","256,497",Annual Count,"192,080",Annual Estimate Based on Typical Week(s),"195,736","57,897","3,895","285,973","2,742,460","3,028,433","481,709","3,224,169",0,0,74,14,60,"5,498",300,"5,198",1,1,0,250,250,,707,7,700,96,96,0,0,0,782,"5,844",60,"5,198",unavailable,Yes,"32,954","459,567","45,698",19,CA0045,19-20
HUMBOLDT COUNTY LIBRARY,Humboldt,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1313 THIRD ST.,EUREKA,95501,553,(707) 269-1918,(707) 269-1905,http://www.co.humboldt.ca.us/library/,"3,573.00",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"133,302","112,019","19,029",1,10,1,12,"84,645","$2,680,427 ","$125,162 ","$18,739 ","$1,226,220 ","$4,050,548 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,551,569 ","$730,904 ","$2,282,473 ","$130,786 ","$17,195 ","$147,981 ","$28,565 ","$14,344 ","$190,890 ","$1,515,293 ","$3,988,656 ",$0 ,63,7,8,19.8,27.8,21,"76,578","9,869","263,188","14,229","14,740","6,360","14,007",0,9,1,10,411,unavailable,"198,884",Annual Count,"31,210",Annual Count,"389,150","120,850","1,775","126,222","8,903","135,125","515,372","524,275",342,388,531,500,31,"8,898","8,467",431,29,26,3,134,126,8,301,286,15,"4,068","3,933",135,109,"3,142",861,"13,100",17,188,0,No,"60,000","75,801",unavailable,46,CA0039,19-20
HUNTINGTON BEACH PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,7111 TALBERT AVE,HUNTINGTON BEACH,92648,1232,(714) 960-8836,(714) 842-4481,http://www.hbpl.org,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,"201,281","142,823","12,688",1,4,0,5,"127,240","$5,751,819 ","$57,728 ","$70,000 ","$334,845 ","$6,214,392 ","$78,754 ",$0 ,$0 ,$0 ,"$78,754 ","$2,825,529 ","$1,418,050 ","$4,243,579 ","$269,102 ","$17,000 ","$286,102 ","$241,019 ","$53,800 ","$580,921 ","$1,389,892 ","$6,214,392 ","$75,754 ",109,10,11,55,66,26.76,"110,207","10,716","274,302","462,468","10,269","391,477","11,138","41,660",13,1,14,143,"8,140","531,310",Annual Count,"26,758",Annual Estimate Based on Typical Week(s),"779,124","417,654","4,121","117,230","35,835","153,065","896,354","932,189",19,17,"1,260","1,211",49,"43,212","40,627","2,585",68,48,20,460,450,10,16,10,6,"1,315","1,010",305,0,0,"1,344","44,987",264,"361,254",unavailable,Yes,"44,685",unavailable,"74,500",71,CA0046,19-20
IMPERIAL COUNTY LIBRARY,Imperial,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Serra Cooperative Library System,1125 W. MAIN STREET,EL CENTRO,92243,9516,(442) 265-7100,-1,http://www.library.imperialcounty.org,"4,275.00",Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,"54,968","6,808","2,762",0,4,0,4,"8,055","$455,540 ","$220,940 ","$245,000 ","$124,798 ","$1,046,278 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$370,577 ","$172,957 ","$543,534 ","$39,846 ",$0 ,"$39,846 ","$3,692 ","$43,885 ","$87,423 ","$251,485 ","$882,442 ",$0 ,16,1,1,9.15,10.15,1,"33,404","3,688","63,086","5,533","1,278",0,"2,281",0,2,2,4,2,"4,440","32,048",Annual Count,772,Annual Count,"26,263","18,588","2,596",734,unavailable,unavailable,"26,997",unavailable,0,0,444,364,80,"3,070","2,708",362,13,13,0,142,142,0,12,12,0,72,72,0,3,unavailable,469,"3,284",0,0,0,No,"5,982",unavailable,unavailable,18,CA0047,19-20
IMPERIAL PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,200 W. 9TH ST.,IMPERIAL,92251,1213,(760) 355-1332,(760) 355-1332,http://www.cityofimperial.org/public-library,7,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"19,907","7,592","3,273",1,0,0,1,"10,725","$219,546 ","$57,000 ",$0 ,"$7,027 ","$283,573 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$127,654 ","$30,792 ","$158,446 ","$8,500 ",$750 ,"$9,250 ",$0 ,$0 ,"$9,250 ","$49,450 ","$217,146 ",$0 ,7,0,1,3.5,4.5,0.4,"6,612","16,095","37,025","3,897",776,636,"1,013",0,0,0,0,41,"2,834","9,388",Annual Estimate Based on Typical Week(s),"9,372",Annual Estimate Based on Typical Week(s),"18,666","13,015",500,1,1,2,"18,667","18,668",0,8,70,,,863,,,2,,,8,,,1,,,1,,,0,0,73,872,unavailable,unavailable,unavailable,Yes,"2,765",unavailable,441,11,CA0048,19-20
INGLEWOOD PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 W. MANCHESTER BLVD.,INGLEWOOD,90301,1771,(310) 412-5397,(310) 412-5380,http://library.cityofinglewood.org,9,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"111,971","98,485","11,062",1,1,0,2,"84,900","$4,344,408 ",$0 ,$0 ,$0 ,"$4,344,408 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,345,605 ","$1,138,807 ","$2,484,412 ","$258,700 ","$36,000 ","$294,700 ","$136,736 ",$0 ,"$431,436 ","$109,812 ","$3,025,660 ",$0 ,30.44,8,8,6,14,0,"60,996","7,775","204,366","3,115","1,700",285,"5,283",500,35,2,37,335,"2,175","122,394",Annual Count,unavailable,unavailable,"30,692","24,131","3,738",unavailable,unavailable,unavailable,unavailable,unavailable,0,0,456,452,4,"2,358","2,350",8,128,128,0,"1,176","1,176",0,176,169,7,"1,103","1,093",10,0,0,760,"4,637",37,752,752,Yes,"6,419","1,298",unavailable,46,CA0049,19-20
INYO COUNTY FREE LIBRARY,Inyo,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,Inland Library System,168 N. EDWARDS,INDEPENDENCE,93526,610,(760) 878-0359,(760) 878-0260,http://www.countyofinyo.org/library/index.htm,"10,091.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,"18,584","11,030",unavailable,1,5,0,6,"15,793","$537,613 ","$13,310 ",$0 ,"$4,954 ","$555,877 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$320,025 ","$148,734 ","$468,759 ","$25,033 ","$5,797 ","$30,830 ","$5,087 ",$0 ,"$35,917 ","$42,556 ","$547,232 ",$0 ,10,0,5.73,1.45,7.18,0.58,"33,429","2,448","128,845","155,603","1,729","8,756","7,866","24,298",12,4,16,147,"5,254","27,820",Annual Count,"3,582",Annual Count,"31,311","8,345",unavailable,"5,367",unavailable,unavailable,"36,678",unavailable,0,0,57,57,0,679,679,0,0,0,0,0,0,0,10,10,0,82,82,0,7,35,67,761,0,0,0,No,"9,662",unavailable,unavailable,21,CA0050,19-20
IRWINDALE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,5050 N. IRWINDALE AVE.,IRWINDALE,91706,2193,(626) 430-2229,(626) 430-2229,https://www.irwindaleca.gov/121/Library,10,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"1,434","6,821","1,696",1,0,0,1,"2,831","$403,573 ",$0 ,$0 ,"$1,753 ","$405,326 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$251,054 ","$64,779 ","$315,833 ","$10,791 ","$3,029 ","$13,820 ","$6,750 ","$3,690 ","$24,260 ","$40,391 ","$380,484 ",$0 ,14,1,1,6,7,0,"10,526","1,593","17,093","14,855",615,"4,992","4,028",263,2,2,4,69,"1,890","17,111",Annual Estimate Based on Typical Week(s),"4,800",Annual Estimate Based on Typical Week(s),"18,256","5,732",340,"1,599",169,"1,768","19,855","20,024",0,3,164,164,0,"2,648","2,648",0,1,1,0,2,2,0,17,17,0,161,161,0,17,209,182,"2,811",4,112,0,Yes,"4,638","10,414",unavailable,12,CA0161,19-20
KERN COUNTY LIBRARY,Kern,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,701 TRUXTUN AVE.,BAKERSFIELD,93301,4816,(661) 868-0700,(661) 868-0701,http://kernlibrary.org,"8,141.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"917,553","128,991","24,709",1,22,3,27,"283,828","$5,960,301 ","$63,457 ","$35,625 ","$710,491 ","$6,769,874 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,063,912 ","$1,678,383 ","$4,742,295 ","$319,237 ","$6,107 ","$325,344 ","$121,189 ","$108,475 ","$555,008 ","$1,457,946 ","$6,755,249 ",$0 ,117,13,14,55.74,69.74,11.12,"236,985","24,203","780,505","478,389","32,783","384,067","25,178","40,024",39,3,42,70,unavailable,"670,454",Annual Count,"59,094",Annual Count,"614,436","329,007","14,485","215,869","18,285","234,154","830,305","848,590","60,948","55,171","8,476","8,350",126,"127,158","122,455","4,703",517,499,18,"4,931","4,824",107,"1,581","1,516",65,"20,725","19,472","1,253",165,"31,423","10,574","152,814",403,"24,355","9,562",Yes,"95,935","3,414,877","55,675",262,CA0051,19-20
KINGS COUNTY LIBRARY,Kings,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,401 N. DOUTY ST.,HANFORD,93230,3908,(559) 852-4005,(559) 852-4003,http://www.kingscountylibrary.org/,"1,396.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"153,608","24,250","4,241",1,6,0,7,"55,400","$2,408,886 ","$230,000 ",$0 ,"$55,722 ","$2,694,608 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,022,535 ","$393,085 ","$1,415,620 ","$76,000 ","$6,000 ","$82,000 ","$36,440 ","$12,000 ","$130,440 ","$855,007 ","$2,401,067 ",$0 ,17.51,3,5,12.51,17.51,14,"67,070","12,045","164,315","98,650","2,831","1,207","12,288","5,000",42,3,45,73,"8,436","96,200",Annual Count,"6,719",Annual Count,"137,168","60,785","3,451","14,421","12,046","26,467","151,589","163,635","36,247","22,596",147,147,,"2,595","2,595",,4,4,,187,187,,20,20,,"3,037","3,037",,15,"1,671",171,"5,819",14,858,"9,560",Yes,"21,152","131,766","4,537",94,CA0053,19-20
LA COUNTY LIBRARY,Los Angeles,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Southern California Library Cooperative,7400 E. IMPERIAL HIGHWAY,DOWNEY,90241,3375,(562) 940-8462,N/A,http://www.lacountylibrary.org,"3,041.33",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"3,352,050","2,609,997","488,483",0,83,3,88,"1,129,290","$147,239,212 ","$195,355 ","$34,521 ","$8,291,534 ","$155,760,622 ","$1,750,000 ",$0 ,$0 ,"$1,371,000 ","$3,121,000 ","$65,693,346 ","$41,682,392 ","$107,375,738 ","$6,265,879 ","$318,024 ","$6,583,903 ","$2,121,456 ","$1,163,416 ","$9,868,775 ","$36,305,760 ","$153,550,273 ","$7,825,809 ","1,502.00",278,279,948,"1,227.00",20.32,"2,078,640","244,398","4,129,214","692,436","186,084","270,799","466,802","39,105",35,1,36,"4,788",unavailable,"7,246,102",Annual Estimate Based on Typical Week(s),"835,063",Annual Estimate Based on Typical Week(s),"6,531,996","3,297,992","320,705","2,873,945","2,810,617","5,684,562","9,405,941","12,216,558",452,494,"10,397",,,"258,191",,,"2,152",,,"18,886",,,"4,399",,,"50,810",,,"1,469","45,655","16,948","327,887",49,"15,819",0,Yes,"1,409,794","1,472,960","2,889,859","1,787",CA0062,19-20
LAKE COUNTY LIBRARY,Lake,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1425 N. HIGH ST,LAKEPORT,95453,3800,(707) 263-8817,(707) 263-8817,http://library.lakecountyca.gov,"1,296.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"64,040","46,032","4,371",1,3,0,4,"29,821","$1,055,927 ","$83,011 ",$0 ,"$59,576 ","$1,198,514 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$441,354 ","$201,476 ","$642,830 ","$41,274 ","$4,504 ","$45,778 ","$10,200 ",$705 ,"$56,683 ","$375,126 ","$1,074,639 ",$0 ,18,1,1,10.15,11.15,1.05,"39,180","4,287","135,381","605,418","4,522","401,702","8,906","41,653",9,3,12,41,"4,734",unavailable,Annual Estimate Based on Typical Week(s),"1,401",Annual Count,"159,367","44,823",836,"32,590","4,327","36,917","191,957","196,284","75,826","33,830",277,277,0,"7,335","7,335",0,28,28,0,67,67,0,156,148,8,752,723,29,59,"3,106",461,"8,154",9,302,0,Yes,"16,924","58,057",unavailable,31,CA0054,19-20
LARKSPUR PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,400 MAGNOLIA AVE,LARKSPUR,94939,2035,(415) 927-5005,(415) 927-5005,http://www.larkspurlibrary.org,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"12,253","7,232",922,1,0,0,1,"3,300","$918,863 ","$11,555 ","$5,000 ","$18,687 ","$954,105 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$488,419 ","$200,720 ","$689,139 ","$40,000 ","$5,072 ","$45,072 ","$7,800 ","$7,071 ","$59,943 ","$169,281 ","$918,363 ",$0 ,7.88,4.25,4.25,1.75,6,0.1,"9,111",930,"36,189","172,817","1,339","16,867","3,712",273,21,3,24,39,"1,850",unavailable,unavailable,unavailable,unavailable,"80,662","25,385",79,"26,492","103,526","130,018","107,154","210,680","33,336","14,936",209,206,3,"6,521","6,307",214,7,7,,61,61,,80,73,7,"1,609","1,214",395,4,115,296,"8,191",7,635,43,No,unavailable,"17,891","14,416",9,CA0055,19-20
