Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Number of kiosks,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Total Staff FTE,Total number of volunteers (count heads),Total hours volunteered in the reporting year,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,"Do you loan internet enabled devices? (Laptops, Chromebooks, etc.)",How many devices available for check-out and use outside the library?,Do you lend hot spots?,How many hot spots available for check-out and use outside the library?,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,Total Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded as of June 30,Electronic Collections State Funded,# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge any patrons late fines for physical materials?,Charge per day for Adults,For Young Adults,For Children,Physical Item Circulation,Circulation of Children's Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,"Circulation of internet-enabled devices (laptops, Chromebooks, etc)",Circulation of hotspots,Circulation of Other Physical Items,Circulation of Electronic Materials,Successful Retrieval of State-funded Electronic information (autofilled),Successful Retrieval of locally-funded electronic information,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Program Attendance,of Children's Programs (calculated),Program Attendance,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of General Interest Programs (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Virtual Visits to the library website,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,ILS System (choose from dropdown or enter other),# of self-directed activities,# of participants,Brief description of activities,FSCS ID,Year
COLUSA COUNTY FREE LIBRARY,Colusa,County Library General Fund,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,NorthNet Library System,738 MARKET ST.,COLUSA,95932,2327,(530) 458-0372,(530) 458-7671,https://www.countyofcolusa.org/24/Library,"1,151.00",No,Yes,No,Yes,Yes,Yes,Yes,Yes,"21,807","5,263","1,582",1,6,0,7,0,"17,427","$1,268,875 ","$40,552 ",$0 ,"$98,610 ","$1,408,037 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$528,744 ","$350,869 ","$879,613 ","$72,373 ","$1,921 ","$74,294 ","$5,219 ","$14,135 ","$93,648 ","$434,775 ","$1,408,036 ",$0 ,15,1,2,7.57,9.57,0,0,"26,557","4,100","60,265","1,350","4,805",Yes,0,No,0,119,"66,539",49,"1,079,483","214,266","75,963",4,13,17,"5,384","20,788",Annual Count,"1,069",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,"48,580","23,802",793,114,68,35,0,0,"2,265","1,943",-1,"1,943","50,845","4,208","52,788",Yes,513,"5,219",378,"4,253",195,195,0,"1,039","1,039",0,183,183,0,"3,214","3,214",0,15,15,0,199,199,0,39,39,0,359,359,0,81,22,59,408,166,242,3,753,66,714,Yes,"3,871",Annual Count,"5,287","4,494",Annual Estimate Based on Typical Week(s),33,Sierra (Innovative),130,"1,964","While our branches were open to the public, we did not begin hosting in person programming until September 2021. Our summer reading program was all grab-and-go, as were several of our weekend programs, such as our Sensory Saturday that we turned into monthly pick-up sensory kits.",CA0026,21-22
CONTRA COSTA COUNTY LIBRARY,Contra Costa,County Library with Dedicated Tax,"County or Equivalent, remainder excluding AEs of contained geographies",Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,"777 ARNOLD DRIVE, SUITE 210",MARTINEZ,94553,3633,(925) 608-7700,(925) 646-6434,http://ccclib.org,681,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"1,042,066","337,554","37,460",0,26,0,26,0,"372,309","$37,490,105 ","$801,956 ",$80 ,"$1,734,688 ","$40,026,829 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$15,031,296 ","$8,514,986 ","$23,546,282 ","$2,978,747 ","$180,368 ","$3,159,115 ","$3,016,098 ",$0 ,"$6,175,213 ","$6,408,220 ","$36,129,715 ",$0 ,232,73.2,76.2,129.6,205.8,383,"10,170.50","491,480","55,451","960,314","35,443","70,601",Yes,0,Yes,265,751,"1,067,109",207,"283,092","56,561","30,000",19,22,41,"59,202","3,292,926",Annual Estimate Based on Typical Week(s),-1,,No,$0.00 ,$0.00 ,$0.00 ,"4,334,232","2,803,556","84,098","41,725","58,932",0,"2,056","5,330","1,533,914","1,073,507","1,224,042","2,297,549","5,868,146","3,831,463","8,165,695",Yes,788,"37,172",311,"15,942",104,31,73,"1,572",842,730,207,59,148,"14,370","7,158","7,212",108,10,98,"1,943",867,"1,076",325,53,272,"14,216","1,478","12,738",44,23,21,"5,071","4,767",304,176,"15,112",267,"9,331",No,"224,754",Annual Count,"4,117,632",-1,,614,CARLX (TLC),702,"45,112","""Grab and Go"" project kits, storywalks, scavenger hunts, games, challenges. ",CA0028,21-22
CORONA PUBLIC LIBRARY,Riverside,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), overlap",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,650 SOUTH MAIN ST.,CORONA,92882,3417,(951) 736-2381,(951) 736-2404,http://www.coronaca.gov/library,38,No,Yes,Yes,Yes,Yes,No,No,No,"156,778","103,287","63,883",1,0,1,2,0,"62,300","$2,319,536 ","$347,725 ",$0 ,"$23,842 ","$2,691,103 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,445,002 ","$458,904 ","$1,903,906 ","$60,555 ","$2,500 ","$63,055 ","$82,503 ","$6,000 ","$151,558 ","$264,072 ","$2,319,536 ",$0 ,47,7,7,15,22,281,"11,126.00","49,626","4,460","85,017","3,667","4,863",Yes,29,Yes,39,161,"93,708",8,"94,233",716,"25,461",3,19,22,"2,494","180,680",Annual Count,"12,633",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"252,020","197,270","9,746",0,0,523,137,-1,"28,413","5,053","219,635","224,688",,"253,101","505,121",Yes,863,"12,816",242,"6,243",104,104,0,"4,176","4,176",0,138,124,14,"2,067","1,997",70,207,108,99,757,604,153,345,309,36,"4,102","3,577",525,69,62,7,"1,714","1,662",52,137,"4,854",126,"3,995",Yes,"12,259",Annual Count,"186,060","19,499",Annual Count,51,Other (please list),65,"21,121","Storywalk, Patron Kits, 1000 Books, Hallway happenings",CA0029,21-22
CORONADO PUBLIC LIBRARY,San Diego,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,640 ORANGE AVE.,CORONADO,92118,2232,(619) 522-2475,(619) 522-2484,http://www.coronado.ca.us/library,5,No,Yes,Yes,No,No,No,No,No,"22,277","31,842","4,495",1,0,0,1,0,"40,000","$3,428,168 ","$3,462 ",$0 ,$0 ,"$3,431,630 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,406,327 ","$722,544 ","$2,128,871 ","$185,574 ","$17,634 ","$203,208 ","$150,214 ","$30,918 ","$384,340 ","$560,332 ","$3,073,543 ",$0 ,34,8.75,8.75,15.5,24.25,8,"1,236.00","43,035","7,566","142,112","9,803","21,308",No,0,No,0,4,"173,227",226,"40,606","9,631","31,600",42,14,56,"3,317","220,967",Annual Count,-1,Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"145,425","69,231","2,750","2,112",983,0,0,0,"63,054","4,048","398,259","402,307","208,479","465,361","610,786",No,824,"30,766",379,"19,117",117,117,0,"3,405","3,405",0,262,176,86,"15,712","7,168","8,544",166,163,3,854,780,74,255,223,32,"9,425","5,910","3,515",24,24,0,"1,370","1,370",0,69,"5,200",-1,-1,Yes,"10,912",Annual Count,"8,042","21,571",Annual Count,19,Sierra (Innovative),-1,-1,,CA0160,21-22
COVINA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,234 N. SECOND AVE.,COVINA,91723,2198,(626) 384-5297,(626) 384-5303,http://www.covinaca.gov/library,7,No,No,No,No,No,No,No,No,"50,449","34,434","5,684",1,0,0,1,0,"20,144","$928,770 ","$69,784 ","$28,347 ","$25,017 ","$1,051,918 ",$0 ,"$162,783 ",$0 ,$0 ,"$162,783 ","$450,538 ","$165,722 ","$616,260 ","$26,783 ","$3,024 ","$29,807 ","$6,000 ","$4,718 ","$40,525 ","$183,815 ","$840,600 ",$0 ,21,0.5,0.5,7.18,7.68,2,45,"33,831","4,485","89,453","5,176","3,953",No,0,No,0,312,"98,894",67,"27,008","11,425",269,1,16,17,"1,227","50,750",Annual Estimate Based on Typical Week(s),"12,500",Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.25 ,"46,403","32,277",927,51,2,0,0,12,"4,051",185,15,200,"50,454","4,251","50,654",Yes,327,"1,255",30,567,20,20,0,440,440,0,10,10,0,127,127,0,0,0,0,0,0,0,287,145,142,457,246,211,10,3,7,231,134,97,1,100,0,0,Yes,"1,620",Annual Count,-1,-1,,17,Symphony (SirsiDynix),46,"1,520","Activities included take home bags with various craft and makerspace kits; family literacy kits. Different kits were marketed and made available for various age groups (baby/toddler, children, tween/teen, adult, families as a whole)",CA0030,21-22
CROWELL PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1890 HUNTINGTON DR.,SAN MARINO,91108,2542,(626) 300-0779,(626) 300-0777,http://crowellpubliclibrary.org,4,Yes,Yes,Yes,Yes,Yes,No,No,No,"12,257","30,520","6,543",1,0,0,1,0,"29,000","$1,709,718 ",$0 ,$0 ,"$47,000 ","$1,756,718 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$819,994 ","$250,930 ","$1,070,924 ","$45,169 ","$9,499 ","$54,668 ","$21,965 ","$1,024 ","$77,657 ","$243,296 ","$1,391,877 ",$0 ,37,4.72,4.72,13.82,18.54,0,0,"32,181","5,433","83,222","3,724","2,910",No,0,No,0,6,"89,862",72,"16,905","5,272",263,14,12,26,"3,130","183,064",Annual Count,"6,863",Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.25 ,"169,475","122,013","21,755",151,21,0,0,0,"11,376","4,976","27,187","32,163","180,851","43,539","213,014",No,171,"3,222",78,"1,845",75,75,0,"1,707","1,707",0,3,3,0,138,138,0,1,0,1,1,0,1,92,72,20,"1,376","1,156",220,0,0,0,0,0,0,1,113,-1,-1,No,"9,100",Annual Count,"190,050",-1,,40,Other (please list),21,403,These programs were activity take and makes offered to children (ages 3-11) and young adults (grade6-12) in the FY 21-22: Light up Lantern Batman Day Dino-vember Children's Gingerbread House YA DIY Neon Sign YA Haunted Gingerbread House YA Pearler Bead Palooza YA Bath Bomb Ornament YA Blackout Poetry YA Candy Sushi Winter Warmer Valentine's Day YA DIY Eco-Friendly Canvas Bag YA Finals Survival Kit Earth Day STEAM Tiny Art Show Explore San Marino Creature Post Cards from Camp Summer Reading Club YA S'more Taste Test ,CA0119,21-22
DALY CITY PUBLIC LIBRARY,San Mateo,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,111 LAKE MERCED BOULEVARD,DALY CITY,94015,1048,(650) 991-8023,(650) 991-8023,https://www.dalycity.org/library,8,No,Yes,Yes,Yes,No,Yes,No,No,"102,875","39,908","6,941",1,3,0,4,0,"38,300","$4,134,587 ","$2,000 ","$136,375 ","$28,721 ","$4,301,683 ","$40,128 ",$0 ,$0 ,$0 ,"$40,128 ","$1,764,275 ","$974,716 ","$2,738,991 ","$171,645 ","$14,982 ","$186,627 ","$71,428 ","$20,266 ","$278,321 ","$1,284,371 ","$4,301,683 ","$40,128 ",36,8.27,8.27,15.04,23.31,0,0,"75,214","8,647","196,157","12,314","16,659",Yes,99,Yes,62,198,"225,328",195,"217,947","37,957","32,926",16,18,34,"6,180","135,132",Annual Count,-1,,No,$0.00 ,$0.00 ,$0.00 ,"337,310","181,565","8,359","73,367","33,504",376,816,219,"76,409","11,284","6,064","17,348","413,719","93,757","431,067",Yes,181,"6,243",124,"4,623",86,28,58,"1,584","1,042",542,38,16,22,"3,039","2,437",602,10,9,1,659,634,25,26,10,16,410,185,225,21,15,6,551,373,178,38,"1,608",103,"1,328",No,"16,121",Annual Count,"96,074","382,411",Annual Count,44,Sierra (Innovative),21,626,"Puzzle handouts, self-directed craft stations, craft and STEM kits to take home",CA0031,21-22
DEL NORTE COUNTY LIBRARY DISTRICT,Del Norte,Special District Library,"County or Equivalent, entirety",Member of a Federation or Cooperative,Library District,NorthNet Library System,190 PRICE MALL,CRESCENT CITY,95531,4395,(707) 464-9793,(707) 464-9794,http://www.delnortecountylibrary.org,"1,003.00",No,Yes,No,Yes,Yes,No,Yes,No,"27,218","13,014","1,286",1,1,0,2,0,"6,850","$233,625 ","$28,429 ",$0 ,"$8,000 ","$270,054 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$151,380 ","$18,316 ","$169,696 ","$16,615 ",$240 ,"$16,855 ","$8,000 ",$0 ,"$24,855 ","$141,957 ","$336,508 ","$42,069 ",15,0,0,4.35,4.35,1,960,"10,971","2,355","48,529","1,837","5,209",Yes,7,No,0,7,"55,582",5,"81,229","19,770",299,2,13,15,"2,115","20,104",Annual Estimate Based on Typical Week(s),-1,Annual Estimate Based on Typical Week(s),No,,,,"55,595","13,566",-1,0,0,0,0,8,"7,000",170,-1,170,"62,595","7,170","62,765",No,204,"2,475",90,"1,481",45,33,12,743,668,75,45,33,12,738,660,78,4,3,1,19,19,0,98,7,91,168,77,91,12,12,0,807,807,0,3,"1,500",0,0,Yes,"3,000",Annual Estimate Based on Typical Week(s),-1,"3,000",Annual Estimate Based on Typical Week(s),13,Koha (Equinox),550,550,Take home activities for lunch at the library. Gave away 200 kits over the summer months. 200 gift bags at Halloween 150 gift bags at Christmas.,CA0032,21-22
DOWNEY CITY LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,11121 BROOKSHIRE AVE.,DOWNEY,90241,3860,(562) 904-7365,(562) 904-7366,http://www.downeylibrary.org,13,No,No,No,No,No,No,No,No,"112,584","95,687","11,722",1,0,0,1,0,"27,400","$2,324,689 ","$50,488 ","$36,950 ","$19,487 ","$2,431,614 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$705,996 ","$303,091 ","$1,009,087 ","$95,836 ","$1,273 ","$97,109 ","$68,732 ",$0 ,"$165,841 ",$0 ,"$1,174,928 ",$0 ,47,2,3,24.5,27.5,136,"7,035.00","33,900","4,878","78,325","2,352","3,716",No,0,No,0,0,"84,393",17,"2,691",543,0,0,15,15,"2,300","150,030",Annual Count,-1,Annual Count,Yes,$0.15 ,$0.15 ,$0.15 ,"140,554","87,384","7,680",0,0,0,-1,-1,"19,724","2,228",-1,"2,228","160,278","21,952","162,506",Yes,346,"14,728",255,"9,518",184,181,3,"7,177","7,108",69,71,71,0,"2,341","2,341",0,15,15,0,176,176,0,56,56,0,724,724,0,20,20,0,"4,310","4,310",0,12,"1,114",11,"1,686",Yes,"10,628",Annual Count,"122,475","190,500",Annual Count,61,Polaris (Innovative),0,0,N/A,CA0034,21-22
EL CENTRO PUBLIC LIBRARY,Imperial,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,1140 N. IMPERIAL AVE.,EL CENTRO,92243,2973,(760) 337-4565,(760) 337-4565,http://www.cityofelcentro.org/library/,8,No,Yes,Yes,Yes,Yes,Yes,Yes,No,"44,508","15,307",430,1,1,0,2,0,"14,163","$760,287 ","$9,200 ",$0 ,$0 ,"$769,487 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$377,530 ","$198,433 ","$575,963 ","$50,800 ","$39,000 ","$89,800 ","$16,812 ","$16,251 ","$122,863 ","$32,511 ","$731,337 ",$0 ,9,1,1,10,11,46,879,"32,502","1,652","84,899",535,"1,504",No,0,No,0,0,"86,938",80,0,0,0,4,9,13,"1,560","19,131",Annual Count,239,Annual Count,Yes,$0.28 ,$0.28 ,$0.28 ,"16,059","9,363",803,0,0,0,0,209,0,0,-1,0,"16,059",0,"16,059",Yes,"1,077","17,916",309,"7,563",103,103,0,"1,764","1,764",0,206,206,0,"5,799","5,799",0,51,51,0,558,558,0,204,204,0,"1,116","1,116",0,513,513,0,"8,679","8,679",0,6,235,20,"1,011",Yes,"3,488",Annual Count,0,0,Annual Count,24,Polaris (Innovative),51,"4,137","Craft activities packets, booklets, word search, games, puzzles and book give aways",CA0035,21-22
EL DORADO COUNTY LIBRARY,El Dorado,County Library General Fund,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,NorthNet Library System,345 FAIR LANE,PLACERVILLE,95667,5699,(530) 621-5540,(530) 621-5545,http://www.eldoradolibrary.org/,"1,725.90",No,Yes,Yes,Yes,Yes,No,Yes,Yes,"190,465","98,269","27,652",1,5,0,6,0,"67,384","$3,356,652 ","$510,730 ",$0 ,"$371,814 ","$4,239,196 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,065,753 ","$1,120,779 ","$3,186,532 ","$186,467 ","$17,013 ","$203,480 ","$34,186 ","$23,255 ","$260,921 ","$791,742 ","$4,239,195 ",$0 ,46,6.5,6.5,32.35,38.85,31,"2,227.00","78,553","14,164","293,403","14,808","15,790",No,0,Yes,62,362,"324,363",168,"50,811","21,229",0,0,20,20,"7,450","414,739",Annual Count,"14,048",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,"626,664","321,651","4,904","2,583","7,328",0,97,-1,"123,055","53,092",-1,"53,092","749,719","176,147","802,811",No,349,"5,231",174,"4,068",68,68,0,"1,706","1,706",0,106,106,0,"2,362","2,362",0,15,15,0,140,140,0,160,160,0,"1,023","1,023",0,0,0,0,0,0,0,0,0,0,0,Yes,"16,936",Annual Count,"140,000","956,794",Annual Estimate Based on Typical Week(s),44,Symphony (SirsiDynix),-1,-1,,CA0036,21-22
EL SEGUNDO PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,111 W. MARIPOSA AVE.,EL SEGUNDO,90245,2299,(310) 524-2722,(310) 524-2728,https://elsegundolibrary.org,5,No,,,,,,,,"17,084","12,854","2,702",1,4,0,5,0,"42,021","$2,263,087 ",$0 ,$0 ,"$22,000 ","$2,285,087 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,366,810 ","$385,878 ","$1,752,688 ","$67,395 ","$6,192 ","$73,587 ","$44,558 ","$4,298 ","$122,443 ","$320,485 ","$2,195,616 ",$0 ,28,5,5,13.53,18.53,5,252,"62,022","3,294","98,202","4,889","3,602",Yes,4,Yes,4,20,"106,713",68,"30,929","11,968","30,269",10,15,25,"6,400","168,413",Annual Count,"26,826",Annual Count,Yes,$0.25 ,$0.00 ,$0.00 ,"146,528","108,143",237,32,116,49,49,0,"14,200",443,"143,104","143,547","160,728","157,747","304,275",Yes,215,"6,515",78,"3,517",32,32,0,"1,253","1,253",0,46,46,0,"2,264","2,264",0,19,19,0,128,128,0,115,93,22,"2,043","1,887",156,3,3,0,827,827,0,25,"1,494",0,0,No,"4,855",Annual Count,"151,559","24,203",Annual Count,10,Sierra (Innovative),68,"3,248","steam/craft kits to go, for kids & teens; board games",CA0037,21-22
ESCONDIDO PUBLIC LIBRARY,San Diego,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,239 S. KALMIA ST.,ESCONDIDO,92025,4224,(760) 839-4601,(760) 839-4839,http://www.escondidolibrary.org,37,No,Yes,Yes,Yes,Yes,Yes,Yes,No,"150,679","76,524","12,254",1,1,0,2,0,"45,000","$3,028,770 ","$113,569 ",$0 ,"$70,808 ","$3,213,147 ","$22,763 ","$68,710 ","$61,670 ","$56,074 ","$209,217 ","$1,235,255 ","$444,733 ","$1,679,988 ","$108,657 ","$8,363 ","$117,020 ","$109,377 ","$23,254 ","$249,651 ","$609,894 ","$2,539,533 ","$140,491 ",30,7,7,16.75,23.75,146,"19,092.00","27,918","8,234","83,855","3,349","21,450",No,0,No,0,233,"108,887",88,"18,866","1,162",0,19,18,37,"3,611","202,946",Annual Count,"69,321",Annual Count,No,,,,"428,616","238,868","18,453",0,96,,,273,"72,700","3,598","83,287","86,885","501,316","159,585","588,201",Yes,525,"12,231",215,"7,100",113,105,8,"4,685","4,623",62,102,97,5,"2,415","2,371",44,46,45,1,266,261,5,194,99,95,"1,942","1,220",722,70,65,5,"2,923","2,866",57,53,796,62,319,Yes,"21,922",Annual Count,"202,375","167,044",Annual Count,82,Polaris (Innovative),21,"1,653",Mostly Literacy take home kits; a few teen and kids art project kits,CA0038,21-22
FOLSOM PUBLIC LIBRARY,Sacramento,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,411 STAFFORD ST,FOLSOM,95630,2643,(916) 461-6137,(916) 461-6131,https://www.library.folsom.ca.us/,22,No,No,No,No,Yes,No,No,No,"84,592","33,239","5,735",1,0,0,1,0,"24,000","$1,678,368 ","$17,414 ",$0 ,"$57,733 ","$1,753,515 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$733,793 ","$556,723 ","$1,290,516 ","$124,981 ","$3,198 ","$128,179 ","$28,573 ","$15,952 ","$172,704 ","$263,678 ","$1,726,898 ",$0 ,11,2,3,8,11,79,"2,047.00","46,313","3,885","83,527","2,354","8,448",Yes,5,Yes,4,781,"95,110",43,"80,561","19,486",299,1,18,19,"1,977","152,229",Annual Count,"4,420",Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.05 ,"496,790","260,283","2,426","57,698","60,234",40,58,"2,023","60,476","8,902","3,679","12,581","557,266","73,057","569,847",No,351,"14,595",288,"13,874",230,230,0,"12,582","12,582",0,58,58,0,"1,292","1,292",0,8,8,0,120,120,0,55,53,2,601,598,3,0,0,0,0,0,0,11,857,0,0,Yes,"11,398",Annual Count,"218,100",-1,,25,Sierra (Innovative),0,0,,CA0193,21-22
FRESNO COUNTY PUBLIC LIBRARY,Fresno,County Library with Dedicated Tax,"County or Equivalent, remainder excluding AEs of contained geographies",Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,2420 MARIPOSA ST.,FRESNO,93721,2285,(559) 600-6237,(559) 600-7323,http://www.fresnolibrary.org,"4,999.48",No,Yes,Yes,Yes,No,No,Yes,No,"987,826","185,681","28,347",1,35,2,38,0,"285,374","$41,914,716 ","$260,464 ","$572,614 ","$1,013,449 ","$43,761,243 ",$0 ,$0 ,$0 ,$27 ,$27 ,"$11,367,196 ","$9,337,337 ","$20,704,533 ","$789,044 ","$73,608 ","$862,652 ","$1,344,052 ","$602,296 ","$2,809,000 ","$7,527,797 ","$31,041,330 ","$10,117 ",306,42,42,228.85,270.85,92,"4,493.00","261,995","55,953","660,414","61,600","86,111",Yes,89,Yes,27,238,"808,363",846,"76,067","40,597",837,32,22,54,"71,801","160,172",Annual Estimate Based on Typical Week(s),984,Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,"1,648,225","746,592","42,830",5,930,220,179,"26,187","858,862","65,394","483,125","548,519","2,507,087","1,407,381","3,055,606",Yes,"1,938","27,201","1,097","19,101",662,662,0,"10,302","10,302",0,435,420,15,"8,799","8,486",313,360,234,126,"2,898","2,123",775,481,439,42,"5,202","4,800",402,0,0,0,0,0,0,1,38,62,"15,811",Yes,"174,846",Annual Count,"1,587,250","63,925",Annual Count,309,Horizon (SirsiDynix),193,"2,731",Various take and make craft kits patrons take home to complete. ,CA0040,21-22
FULLERTON PUBLIC LIBRARY,Orange,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,353 W. COMMONWEALTH AVE.,FULLERTON,92832,1796,(714) 738-6380,(714) 738-6326,www.fullertonlibrary.org,22,No,No,No,No,No,No,No,No,"142,732","126,631","13,322",1,0,0,1,0,"62,553","$4,080,501 ","$3,865 ",$0 ,"$104,109 ","$4,188,475 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,144,790 ","$707,365 ","$1,852,155 ","$118,815 ",$368 ,"$119,183 ","$41,350 ",$0 ,"$160,533 ","$1,270,609 ","$3,283,297 ",$0 ,21,10,10,4,14,76,"4,537.00","78,411","3,946","85,923","3,674","11,618",No,0,Yes,53,0,"101,215",18,"9,364","3,154",0,23,17,40,"1,836","156,805",Annual Count,"16,324",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"300,752","221,060","3,012",206,39,0,213,0,"76,777","1,478","4,873","6,351","377,529","83,128","383,880",Yes,114,"5,297",79,"3,569",51,23,28,"2,079",827,"1,252",28,28,0,"1,490","1,490",0,2,2,0,125,125,0,24,24,0,"1,020","1,020",0,9,9,0,583,583,0,24,"1,102",10,"2,120",Yes,"5,422",Annual Count,-1,"10,720",Annual Count,16,Horizon (SirsiDynix),7,"1,684",STEM and preschool craft kits,CA0041,21-22
