Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,ILL Period # of weeks,ILL Photocopy free up to 10 pages?,Copy Fee,Size Square Mile,Population of The Legal Service Area,Population of Children Ages Under 5,Population of Children Ages 5-14,Population Age 0-14,Population Over 14 Years,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Stations,Total # of Outlets,Total # of Service Points,Library Visits,"Hours Open, All Outlets",FTE Volunteers,Total persons employed,FTE Special Professionals,# of Librarian FTEs,FTE All other paid staff,FTE Other,FTE Library Technical Assistants,# of ALA MLS Librarian FTEs,Staff FTE,Total Operating Income,Local Government Income,State Income,Federal Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Other Operating Income,Literacy Income,Total Operating Expenditures,Total Collection Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Print Materials Expenditures,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Total Capital Expenditures,All Other Operating Expenditures,Operating Expenditures on Preservation,Expenditures on Children's Materials,Expenditures on Adult Literacy Programs,Books Children Held,Books Young Adult Held,Government Documents,Children's Audio Materials,# of Physical Audio Materials in Collection,Children's Video Materials,# of Physical Video Materials in Collection,# of Current Serial Subscriptions,Book Titles Added,# of Electronic Books in Collection,# of Electronic Collections in Collection,# of Electronic Collections through State Funding in Collection,Total Print Materials Held,# of Downloadable Audio Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,Children's Books Added,Books Added,Library Materials in Electronic Format,Number of Adult Books Held,Total Print Materials Held,Total Collection,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,Reference Questions,Total # of Programs,# of Children's Programs,# of Young Adult Programs,Young Adult Program Attendance,Children's Program Attendance,Total Program Attendance,# of Pre School Programs,Pre-School Program Attendance,# of School Aged Programs,School Aged Program Attendance,# of Adult Programs,Adult Program Attendance,Beginning Salary for Director,Final Salary for Director,Beginning Salary for Assistant Director,Final Salary for Assistant Director,Beginning Salary for Chief Library Division,Final Salary for Chief Library Division,Beginning Salary for Branch Librarian,Final Salary for Branch Librarian,Beginning Salary for Entry Level Librarian,Final Salary for Entry Level Librarian,Beginning Salary for Journeyman Librarian,Final Salary for Journeyman Librarian,Beginning Salary for Library Tech Assistant,Final Salary for Library Tech Assistant,Beginning Salary for Manager of Special Library Service (non-MLS),Final Salary for Manager of Special Library Service (non-MLS),Beginning Salary for Clerk,Final Salary for Clerk,Library Utilizes CA Teleconnect Fund,Library Utilizes the E-Rate Program,CIPA Compliant,Annual Uses of Public Internet Computers,# of Internet Terminals,Virtual Visits to the library website,Library use RFID,FSCS ID,Fiscal Year
COVINA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,234 N. SECOND AVE.,COVINA,91723,2198,6263845297,(626) 384-5303,http://www.covinaca.gov/library,3,Yes,,7,"49,006","5,506","10,055","15,561","33,445","37,927","5,509",1,0,0,0,1,1,"189,201","1,890",2.5,23,3,1,11.93,7.68,1.25,1,12.93,"$948,504 ","$807,604 ","$44,135 ","$33,688 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$63,077 ","$32,614 ","$945,478 ","$56,153 ","$32,534 ","$4,694 ","$13,750 ","$5,175 ","$37,228 ","$497,101 ","$140,594 ","$637,695 ",$0 ,"$251,630 ",$0 ,"$15,937 ","$119,827 ","36,068","4,651",0,638,"5,330",846,"3,797",88,"2,039","22,368",4,0,"92,276","5,564",314,4,"1,165","2,457","22,368","51,557","92,276","123,863","107,011","66,349","1,807","1,381","1,314","2,695","108,392","109,706",13,8,"28,120",252,225,6,145,"6,054","6,419",88,"2,194",137,"3,860",21,220,"$9,794 ","$13,133 ",,,,,"$5,645 ","$7,389 ",,,,,"$3,431 ","$4,274 ","$4,876 ","$6,384 ","$2,193 ","$2,666 ",Yes,Yes,Yes,"19,848",36,,No,CA0030,17-18
DALY CITY PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,111 LAKE MERCED BOULEVARD,DALY CITY,94015,1048,6509918001,(650) 991-8023,http://www.dalycity.org/library,0,Yes,,8,"107,864","5,374","10,344","15,718","92,146","48,036","9,899",1,1,0,2,2,4,"322,668","5,917",0.13,38,1,7.27,13.77,4.37,8.4,7.27,21.04,"$3,302,553 ","$3,260,804 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$41,749 ",$0 ,"$3,302,553 ","$230,614 ","$143,961 ","$16,337 ","$45,183 ","$25,133 ","$160,298 ","$1,419,425 ","$649,708 ","$2,069,133 ",$0 ,"$1,002,806 ",$173 ,"$52,511 ",$0 ,"74,867","8,582",0,"2,020","12,278","6,518","16,522",239,"4,186","72,275",15,0,"194,108","7,743",0,15,"2,963","8,268","72,275","110,659","194,108","295,437","368,428","179,370","14,421","30,273","12,281","42,554","398,701","410,982","67,884","48,730","18,623",616,482,72,"2,445","14,984","18,148",359,"7,595",123,"7,389",62,719,"$13,220 ","$16,069 ","$9,837 ","$11,956 ","$6,390 ","$7,767 ","$6,045 ","$7,348 ","$5,498 ","$6,683 ","$5,498 ","$6,683 ","$4,520 ","$5,495 ","$4,979 ","$6,052 ","$3,859 ","$4,691 ",Yes,Yes,No,"49,738",54,"161,818",Yes,CA0031,17-18
DEL NORTE COUNTY LIBRARY DISTRICT,Del Norte,Special District Library,County/Parish (exactly),Member of a Federation or Cooperative,Library District,NorthNet Library System,190 PRICE MALL,CRESCENT CITY,95531,4395,7074649793,-1,http://www.delnortecountylibrary.org,0,No,10 cents,"1,003.00","27,221","1,621","2,795","4,416","22,805","22,887","1,283",1,0,0,0,1,1,"49,136","2,408",1,10,0,1,3,3,0,0,4,"$220,721 ","$192,291 ","$24,118 ",$0 ,"$184,485 ","$4,000 ",$0 ,"$8,000 ","$196,485 ","$4,312 ","$20,800 ","$262,381 ","$14,864 ","$10,000 ","$1,200 ","$3,664 ",$0 ,"$11,200 ","$129,000 ","$37,264 ","$166,264 ",$0 ,"$81,253 ","$1,645 ","$7,000 ","$45,221 ","11,025","2,171",,102,620,395,"2,743",20,"2,113",0,2,0,"51,664","3,520",0,2,460,"2,113",0,"38,468","51,664","55,049","45,278","10,456",196,"2,556",,"2,556","47,834","47,834",0,0,"3,624",224,200,12,86,"4,706","4,985",100,"2,204",100,"2,502",12,193,,,,,,,,,,,,,,,"$2,560 ","$3,200 ",$988 ,"$1,007 ",No,No,Yes,"14,356",18,"3,428",No,CA0032,17-18
DIXON PUBLIC LIBRARY DISTRICT,Solano,Special District Library,School District (exactly),Member of a Federation or Cooperative,School District,NorthNet Library System,230 N. FIRST ST.,DIXON,95620,3028,7076785447,(707) 685-7447,http://www.dixonlibrary.com,4,Yes,,196,"29,214","1,814","5,384","7,198","22,016","5,461",-1,1,0,0,0,1,1,"84,136","2,644",0,19,0.5,3.7,6,3.5,2,2,9.7,"$1,463,860 ","$1,436,514 ",$0 ,$0 ,"$52,562 ",$0 ,$0 ,"$5,825 ","$58,387 ","$27,346 ",$0 ,"$1,161,223 ","$71,715 ","$43,059 ","$3,717 ","$10,375 ","$14,564 ","$46,776 ","$546,434 ","$116,365 ","$662,799 ","$5,825 ","$426,709 ",$0 ,"$20,000 ","$2,500 ","19,651","4,185",,387,"2,179",832,"3,294",120,"2,300","12,966",17,0,"43,512","6,119",294,17,"1,630","2,848","12,966","19,676","43,512","62,088","59,496","17,991","1,297","2,693","4,797","7,490","62,189","66,986","18,352","11,203","10,032",236,195,3,76,"4,760","5,082",166,"1,680",29,"3,080",38,246,"$8,214 ","$8,214 ",,,"$4,195 ","$5,114 ",,,"$3,682 ","$4,491 ",,,"$3,314 ","$4,037 ",,,"$2,144 ","$2,614 ",No,Yes,Yes,"8,698",14,"26,520",No,CA0033,17-18
DOWNEY CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,11121 BROOKSHIRE AVE.,DOWNEY,90241,3860,5629047360,(562) 904-7364,http://www.downeylibrary.org,6,Yes,,13,"114,146","7,814","16,523","24,337","89,809","86,227","24,857",1,0,0,0,1,1,"320,311","2,703",4,50,2,2.3,24,22,0,2.3,26.3,"$2,269,493 ","$2,168,537 ","$38,996 ","$32,490 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$29,470 ","$38,996 ","$2,080,299 ","$248,000 ","$187,500 ","$7,000 ","$42,000 ","$11,500 ","$194,500 ","$955,480 ","$320,226 ","$1,275,706 ",$0 ,"$556,593 ",$0 ,"$56,000 ","$34,823 ","45,315","4,765","1,291",570,"2,084","1,231","6,051",154,"11,400","2,156",0,0,"100,582",180,0,0,"5,474","12,442","2,156","50,502","101,873","112,318","295,208","176,225","13,076","5,006",,"5,006","300,214","300,214",268,21,"26,665",440,207,45,485,"9,249","11,140",141,"3,480",66,"5,769",188,"1,406","$7,939 ","$9,685 ","$6,149 ","$7,501 ","$5,562 ","$6,894 ",$0 ,$0 ,"$4,739 ","$5,870 ","$5,131 ","$6,292 ","$2,971 ","$3,681 ","$3,780 ","$4,683 ","$1,639 ","$2,011 ",Yes,Yes,Yes,"42,584",35,,No,CA0034,17-18
EL CENTRO PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,1140 N. IMPERIAL AVE.,EL CENTRO,92243,2973,7603374565,(760) 337-4565,http://www.cityofelcentro.org/library/,3,Yes,,8,"46,315",,,,"46,315","5,325",363,1,0,0,1,1,2,"91,068","3,600",5,11,1,1,10,6,3,1,11,"$706,500 ","$706,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$706,500 ","$82,242 ","$50,291 ","$4,000 ","$15,203 ","$12,748 ","$54,291 ","$351,890 ","$151,096 ","$502,986 ",$0 ,"$121,272 ",$0 ,"$15,127 ",$0 ,"39,081","1,092",473,62,"1,057",98,825,79,"2,782",0,4,0,"97,818",0,0,4,"1,007","2,814",0,"57,645","98,291","100,256","40,065","25,584","1,745",0,,0,"40,065","40,065",19,6,407,190,148,0,0,"7,918","8,107",48,"1,685",100,"6,233",42,189,"$4,921 ","$7,382 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,852 ","$4,844 ","$2,479 ","$3,172 ","$4,641 ","$6,012 ",$720 ,$720 ,No,No,Yes,"20,080",24,,No,CA0035,17-18
EL DORADO COUNTY LIBRARY,El Dorado,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,345 FAIR LANE,PLACERVILLE,95667,5699,5306215540,(530) 621-5545,http://www.eldoradolibrary.org/,8,Yes,,"1,725.90","188,399","8,004","20,886","28,890","159,509","97,509","11,873",1,3,1,2,5,7,,"10,396",7.46,54,1.8,5,30.25,27.45,1,5,35.25,"$3,574,814 ","$2,957,989 ","$285,208 ","$2,621 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$328,996 ",$0 ,"$3,574,814 ","$264,000 ","$144,870 ","$17,524 ","$73,427 ","$28,179 ","$162,394 ","$1,833,270 ","$865,446 ","$2,698,716 ",$0 ,"$612,098 ",$0 ,"$26,834 ",$0 ,"115,824","21,445",86,"2,964","17,305","3,579","20,428",328,"8,082","117,209",6,0,"310,530","6,560",0,6,"4,348","13,503","117,209","173,261","310,616","465,892","746,526","346,365","4,400","51,031","26,528","77,559","797,557","824,085",421,92,"13,129","1,618","1,208",148,"1,227","27,865","33,434",904,"17,244",304,"10,621",262,"4,342","$9,105 ","$11,069 ",,,,,"$4,678 ","$5,687 ","$3,660 ","$4,449 ","$4,066 ","$4,942 ","$3,314 ","$4,028 ","$5,453 ","$6,627 ","$2,437 ","$3,255 ",Yes,Yes,No,"40,407",44,,Yes,CA0036,17-18
EL SEGUNDO PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,111 W. MARIPOSA AVE.,EL SEGUNDO,90245,2299,3105242722,(310) 524-2728,http://eslib.org,3,Yes,,5,"16,784","1,247","2,083","3,330","13,454","16,441","2,998",1,1,0,3,2,5,"227,821","7,830",3,30,1,6,13.41,0,12.41,5,19.41,"$2,259,421 ","$2,199,421 ","$35,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$25,000 ",$0 ,"$2,146,127 ","$126,798 ","$65,876 ","$7,466 ","$46,462 ","$6,994 ","$73,342 ","$1,203,574 ","$491,730 ","$1,695,304 ",$0 ,"$324,025 ",$800 ,"$30,534 ",$0 ,"85,221","10,145",0,868,"5,037","1,234","4,484",107,"5,640","19,416",9,0,"125,016","6,588",0,9,"3,241","6,306","19,416","29,650","125,016","154,069","155,350","111,129",254,"7,425","88,752","96,177","162,775","251,527",58,141,"28,410",218,103,23,152,"3,451","5,125",54,"1,741",49,"1,710",92,"1,522","$10,641 ","$13,187 ",$0 ,$0 ,"$7,017 ","$8,684 ","$6,731 ","$8,294 ","$6,060 ","$7,270 ",$0 ,$0 ,"$4,893 ","$6,116 ","$5,853 ","$7,804 ","$2,687 ","$3,266 ",Yes,No,No,"13,499",63,"12,294",No,CA0037,17-18
ESCONDIDO PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,239 S. KALMIA ST.,ESCONDIDO,92025,4224,7608394601,(760) 839-4839,http://www.escondidolibrary.org,2,No,$0.15 ,37,"151,478","5,931","10,869","16,800","134,678","62,571","12,729",1,0,0,2,1,3,"407,839","4,420",25.25,39,2,8,12,1,9,8,20,"$3,806,549 ","$3,670,055 ","$46,757 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$89,737 ","$46,757 ","$1,978,999 ","$258,324 ","$153,959 ","$9,740 ","$58,385 ","$36,240 ","$163,699 ","$1,115,547 ",$0 ,"$1,115,547 ","$336,579 ","$605,128 ","$16,050 ","$47,684 ","$46,757 ","38,844","7,512",0,622,"3,818","2,056","21,367",168,"7,000","6,368",17,0,"127,247","1,237",65,17,"3,890","11,363","6,368","80,891","127,247","158,985","440,835","168,246","19,641","26,496","17,777","44,273","467,331","485,108",29,112,"107,724",280,165,40,527,"5,734","8,557",95,"4,371",70,"1,363",75,"2,296","$7,900 ","$8,200 ",$0 ,$0 ,"$5,430 ","$5,595 ","$4,460 ","$4,596 ","$4,043 ","$4,083 ",$0 ,$0 ,"$3,159 ","$3,915 ","$4,453 ","$4,542 ","$3,158 ","$3,189 ",Yes,Yes,Yes,"59,609",96,"195,518",Yes,CA0038,17-18
FOLSOM PUBLIC LIBRARY,Sacramento,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,411 STAFFORD ST,FOLSOM,95630,2643,(916) 461-6137,(916) 461-6131,http://library.folsom.ca.us,3,Yes,,22,"78,447","4,868","11,256","16,124","62,323","32,200","6,041",1,0,0,0,1,1,"277,808","2,374",3,27,0,4,6.5,5.5,1,3,10.5,"$1,610,302 ","$1,562,885 ","$6,324 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$41,093 ",$0 ,"$1,613,603 ","$179,380 ","$118,782 ","$3,595 ","$28,123 ","$28,880 ","$122,377 ","$736,982 ","$387,529 ","$1,124,511 ",$0 ,"$309,712 ",$0 ,"$81,962 ",$0 ,"37,981","3,076",23,"1,062","4,528","2,929","9,332",91,"7,030","9,610",12,0,"75,069","3,442",0,12,"5,350","10,561","9,610","34,012","75,092","98,665","708,143","456,805","5,380","21,916","6,020","27,936","730,059","736,079","67,910","73,994","19,503",899,586,50,805,"29,091","33,227",426,"21,858",160,"7,233",263,"3,331",,,,,"$6,666 ","$10,506 ",,,"$3,866 ","$5,814 ","$4,515 ","$6,896 ","$3,131 ","$4,783 ",,,"$2,453 ","$3,745 ",No,No,Yes,"27,354",27,"130,500",Yes,CA0193,17-18
FRESNO COUNTY PUBLIC LIBRARY,Fresno,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,2420 MARIPOSA ST.,FRESNO,93721,2285,5596006237,(559) 600-7323,http://www.fresnolibrary.org,6,Yes,,"4,999.48","980,350","95,890","158,931","254,821","725,529","277,198","57,351",1,29,2,7,32,39,"2,820,922","78,824",22,326,32.6,54,216.7,61.55,122.55,54,270.7,"$31,218,974 ","$29,210,343 ","$157,807 ","$28,423 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,822,401 ","$57,849 ","$25,239,513 ","$2,085,152 ","$525,603 ","$77,029 ","$568,674 ","$913,846 ","$602,632 ","$9,909,295 ","$8,372,137 ","$18,281,432 ","$163,736 ","$4,872,929 ","$13,723 ","$468,362 ","$394,756 ","282,829","63,874","6,875","9,171","85,239","17,043","99,833","1,040","11,793","101,385",55,0,"750,470","18,677",659,55,"30,664","57,614","101,385","403,767","757,345","1,044,897","3,295,783","952,986","43,183","822,144","184,996","1,007,140","4,117,927","4,302,923",76,963,"219,108","5,299","2,587",494,"5,466","44,970","82,824",696,"16,784","1,891","28,186","2,218","32,388","$11,204 ","$11,204 ","$8,186 ","$8,186 ","$6,866 ","$6,866 ","$5,122 ","$5,122 ","$3,898 ","$4,318 ","$4,313 ","$6,157 ","$2,557 ","$3,895 ","$6,110 ","$7,023 ","$1,001 ","$2,521 ",Yes,Yes,Yes,"520,476",375,"2,694,685",Yes,CA0040,17-18
FULLERTON PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,353 W. COMMONWEALTH AVE.,FULLERTON,92832,1796,7147386380,(714) 738-6326,www.fullertonlibrary.org,4,Yes,,22,"144,214","8,231","16,976","25,207","119,007","124,462","10,010",1,0,0,0,1,1,"563,492","2,877",8.35,65,1,11,23.3,12.9,9.4,10.1,34.3,"$4,262,787 ","$3,731,616 ","$2,105 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$529,066 ",$0 ,"$3,811,675 ","$245,721 ","$132,569 ","$6,206 ","$97,730 ","$9,216 ","$138,775 ","$1,602,567 ","$568,015 ","$2,170,582 ",$0 ,"$1,395,372 ",$0 ,"$76,979 ",$0 ,"88,394","3,187",0,"1,506","8,130","2,073","13,526",156,"5,616","5,905",10,0,"178,315","1,903",0,10,"6,763","8,967","5,905","86,734","178,315","206,042","513,652","338,996","7,777","34,458",,"34,458","548,110","548,110",223,36,"63,677",757,392,34,"1,565","17,089","21,844",256,"8,791",136,"8,298",331,"3,190","$9,166 ","$10,000 ","$6,872 ","$6,872 ","$6,217 ","$7,557 ",$0 ,$0 ,"$4,212 ","$5,376 ","$5,657 ","$6,877 ","$2,963 ","$3,972 ",$0 ,$0 ,"$2,725 ","$3,478 ",Yes,Yes,Yes,"56,028",56,"609,972",Yes,CA0041,17-18
"GLENDALE LIBRARY, ARTS & CULTURE",Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,222 E. HARVARD ST.,GLENDALE,91205,1075,8185482030,(818) 548-2021,http://glendalepubliclibrary.org,3,Yes,,31,"205,536","15,972","19,946","35,918","169,618","154,511","36,139",1,7,0,0,8,8,"928,798","15,475",5.35,149,1,30.12,52.65,51.65,0,30.12,82.77,"$11,963,458 ","$10,658,613 ","$105,500 ","$62,000 ","$3,096,289 ",$0 ,$0 ,$0 ,"$3,096,289 ","$1,137,345 ","$57,000 ","$10,658,613 ","$1,008,501 ","$624,412 ","$54,146 ","$265,562 ","$64,381 ","$678,558 ","$4,812,424 ","$1,911,975 ","$6,724,399 ","$1,120,304 ","$2,925,713 ",$0 ,"$165,815 ","$92,647 ","98,851","11,117",0,"2,142","53,208","2,519","25,192",634,"14,220","94,664",73,0,"332,532","6,734",71,73,"10,946","26,373","94,664","222,564","332,532","506,303","866,060","390,253","85,092","154,066","260,706","414,772","1,020,126","1,280,832","62,239","35,732","38,574","5,170","2,335",7,237,"55,311","75,618",757,"20,084","1,578","35,227","2,828","20,070","$10,072 ","$16,152 ","$8,994 ","$13,082 ","$1,624 ","$10,566 ","$5,614 ","$8,166 ","$4,398 ","$6,749 ","$3,358 ","$5,164 ","$3,358 ","$5,164 ","$6,174 ","$8,984 ","$2,983 ","$4,577 ",Yes,Yes,Yes,"90,309",148,"509,486",Yes,CA0042,17-18
GLENDORA LIBRARY & CULTURAL CENTER,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,140 SOUTH GLENDORA AVE.,GLENDORA,91741,3499,6268524891,(626) 852-4891,http://www.glendoralibrary.org,3,Yes,,19,"52,703","2,564","6,769","9,333","43,370","30,824","6,650",1,0,0,0,1,1,"286,541","2,609",6.53,33,3.51,5.63,16.34,7.81,5.02,5.63,21.97,"$2,294,611 ","$2,102,750 ","$25,838 ","$13,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$153,023 ","$25,838 ","$1,944,471 ","$175,131 ","$65,579 ","$19,085 ","$80,320 ","$10,147 ","$84,664 ","$957,808 ","$326,138 ","$1,283,946 ","$170,000 ","$485,394 ",$0 ,"$43,440 ","$41,754 ","25,297","4,418",15,"1,355","9,715","1,218","8,682",259,"3,004","15,059",29,0,"99,737","5,841",212,29,"1,221","3,792","15,059","70,022","99,752","133,496","268,738","135,536","1,208","21,145","103,563","124,708","289,883","393,446",363,224,"36,533",493,411,34,998,"28,115","30,255",162,"10,551",249,"17,564",48,"1,142","$10,520 ","$13,138 ",,,"$4,950 ","$6,017 ",,,"$3,970 ","$4,826 ","$4,367 ","$5,308 ","$3,051 ","$3,709 ","$4,950 ","$6,017 ",,,No,No,No,"24,629",16,"123,016",Yes,CA0043,17-18
HARRISON MEMORIAL LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,OCEAN & LINCOLN AVE.,CARMEL,93921,800,8316241366,(831) 624-7323,http://ci.carmel.ca.us/library,4,Yes,,1,"3,750",84,226,310,"3,440","7,531",624,1,1,0,0,2,2,"82,480","4,056",0.95,21,0.3,5.1,7.68,0,7.38,5.1,12.78,"$1,488,255 ","$1,139,808 ","$1,594 ",$992 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$345,861 ",$0 ,"$1,172,848 ","$172,303 ","$97,612 ","$7,889 ","$40,366 ","$26,436 ","$105,501 ","$651,865 ","$235,701 ","$887,566 ",$0 ,"$112,979 ","$11,548 ","$19,027 ",$0 ,"12,367","1,449",0,457,"3,501",962,"5,560",106,"4,384","75,623",30,0,"49,312","5,751",798,30,"1,278","4,430","75,623","35,496","49,312","134,132","99,802","26,066",,"12,647","10,747","23,394","112,449","123,196",376,101,"16,276",125,93,4,71,"2,564","4,287",40,"1,802",53,762,28,"1,652","$9,994 ","$12,147 ",,,"$4,856 ","$5,903 ",,,"$4,934 ","$5,342 ",,,"$4,806 ","$5,844 ",,,"$3,783 ","$4,600 ",No,No,No,"8,467",16,"35,875",No,CA0021,17-18
HAYWARD PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,835 C STREET,HAYWARD,94541,5120,5108817954,(510) 293-8685,hayward-ca.gov/public-library,3,Yes,,56,"162,030","10,774","24,605","35,379","126,651","112,748","26,604",1,1,0,0,2,2,"298,370","4,760",12,53,4,11.75,23.3,6.3,13,11,35.05,"$5,004,289 ","$4,782,560 ","$56,318 ","$51,411 ","$17,051,095 ",$0 ,$0 ,$0 ,"$17,051,095 ","$114,000 ","$56,318 ","$5,004,289 ","$291,314 ","$151,688 ","$11,564 ","$41,950 ","$86,112 ","$163,252 ","$2,626,606 ","$1,020,658 ","$3,647,264 ","$17,051,095 ","$1,065,711 ",$0 ,"$59,286 ","$255,468 ","44,557","5,562",0,874,"6,099","4,585","19,654",169,"9,899","37,000",2,0,"138,643","12,000",0,2,"6,249","12,185","37,000","88,524","138,643","201,567","435,828","160,658","19,966","14,937","4,420","19,357","450,765","455,185","5,304","6,604","12,479","2,136","1,012",511,"5,808","30,326","42,031",361,"14,351",651,"15,975",613,"5,897","$13,400 ","$16,289 ",,,"$7,490 ","$9,100 ","$7,490 ","$9,100 ","$5,330 ","$6,468 ","$5,330 ","$6,468 ","$4,170 ","$4,995 ","$7,490 ","$9,100 ",,,No,No,No,"38,749",55,,Yes,CA0044,17-18
HEMET PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,300 E. LATHAM AVE,HEMET,92543,4222,9517652440,(951) 765-2440,http://www.cityofhemet.org/library/,0,No,,27.56,"83,166","5,240","26,025","31,265","51,901","152,614","6,487",1,0,0,0,1,1,"320,195","1,976",12,10,1,3,7,2,4,2,10,"$1,587,980 ","$1,512,090 ","$25,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$50,390 ","$18,000 ","$1,506,346 ","$89,744 ","$57,407 ","$5,000 ","$16,102 ","$11,235 ","$62,407 ","$447,413 ","$336,489 ","$783,902 ",$0 ,"$632,700 ",$0 ,"$36,400 ","$27,046 ","26,685","5,984",0,390,"3,422","1,536","7,133",191,"8,941",508,6,0,"84,977","6,945","4,195",6,"1,822","6,925",508,"52,308","84,977","96,237","441,701","95,367","6,781","6,074","450,973","457,047","447,775","898,748",0,0,"158,080",209,76,11,695,"4,011","11,776",34,"1,374",42,"2,637",122,"7,070","$5,226 ","$5,590 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,992 ","$5,094 ","$4,516 ","$5,764 ","$3,250 ","$4,469 ",$0 ,$0 ,"$2,539 ","$3,706 ",No,Yes,Yes,"61,289",19,"301,564",Yes,CA0045,17-18
