Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,ILL Period # of weeks,ILL Photocopy free up to 10 pages?,Copy Fee,Size Square Mile,Population of The Legal Service Area,Population of Children Ages Under 5,Population of Children Ages 5-14,Population Age 0-14,Population Over 14 Years,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Stations,Total # of Outlets,Total # of Service Points,Library Visits,"Hours Open, All Outlets",FTE Volunteers,Total persons employed,FTE Special Professionals,# of Librarian FTEs,FTE All other paid staff,FTE Other,FTE Library Technical Assistants,# of ALA MLS Librarian FTEs,Staff FTE,Total Operating Income,Local Government Income,State Income,Federal Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Other Operating Income,Literacy Income,Total Operating Expenditures,Total Collection Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Print Materials Expenditures,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Total Capital Expenditures,All Other Operating Expenditures,Operating Expenditures on Preservation,Expenditures on Children's Materials,Expenditures on Adult Literacy Programs,Books Children Held,Books Young Adult Held,Government Documents,Children's Audio Materials,# of Physical Audio Materials in Collection,Children's Video Materials,# of Physical Video Materials in Collection,# of Current Serial Subscriptions,Book Titles Added,# of Electronic Books in Collection,# of Electronic Collections in Collection,Total Print Materials Held,# of Downloadable Audio Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,Children's Books Added,Books Added,Library Materials in Electronic Format,Number of Adult Books Held,Total Print Materials Held,Total Collection,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Total Circulation,ILL loans to others,ILL loans received,Reference Questions,Total # of Programs,# of Children's Programs,# of Young Adult Programs,Young Adult Program Attendance,Children's Program Attendance,Total Program Attendance,# of Pre School Programs,Pre-School Program Attendance,# of School Aged Programs,School Aged Program Attendance,# of Adult Programs,Adult Program Attendance,Beginning Salary for Director,Final Salary for Director,Beginning Salary for Assistant Director,Final Salary for Assistant Director,Beginning Salary for Chief Library Division,Final Salary for Chief Library Division,Beginning Salary for Branch Librarian,Final Salary for Branch Librarian,Beginning Salary for Entry Level Librarian,Final Salary for Entry Level Librarian,Beginning Salary for Journeyman Librarian,Final Salary for Journeyman Librarian,Beginning Salary for Library Tech Assistant,Final Salary for Library Tech Assistant,Beginning Salary for Manager of Special Library Service (non-MLS),Final Salary for Manager of Special Library Service (non-MLS),Beginning Salary for Clerk,Final Salary for Clerk,Library Utilizes CA Teleconnect Fund,Library Utilizes the E-Rate Program,CIPA Compliant,Annual Uses of Public Internet Computers,# of Internet Terminals,Virtual Visits to the library website,Library use RFID,FSCS ID,Fiscal Year
FOLSOM PUBLIC LIBRARY,Sacramento,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,411 STAFFORD ST,FOLSOM,95630,2643,(916) 355-7374,(916) 355-7357,http://library.folsom.ca.us,3,Yes,,22,"78,525","4,376","10,384","14,760","63,765","30,932","6,348",1,0,0,0,1,1,"256,397","2,374",3,25,0,3,7.5,5.5,2,2,10.5,"$1,469,383 ","$1,356,315 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$112,068 ",,"$1,469,889 ","$176,010 ","$115,086 ","$3,248 ","$36,887 ","$20,789 ","$118,334 ","$837,118 ","$360,233 ","$1,197,351 ",$0 ,"$96,528 ",$0 ,"$65,075 ",$0 ,"36,566","2,874",28,"1,303","4,735","2,886","8,990",90,"6,257","6,940",12,"74,112","2,963",0,12,"5,654","9,423","6,940","34,672","74,140","94,907","426,743","5,437","17,095","675,208","67,950","75,473","14,762","1,397",574,40,589,"28,722","32,081",408,"21,519",166,"7,203",209,"2,770",,,,,"$6,666 ","$10,506 ",,,"$3,809 ","$5,814 ","$4,518 ","$6,896 ","$3,133 ","$4,783 ",,,"$2,453 ","$3,745 ",No,No,Yes,"29,137",27,"97,643",Yes,CA0193,16-17
FRESNO COUNTY PUBLIC LIBRARY,Fresno,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,2420 MARIPOSA ST.,FRESNO,93721,2285,(559) 600-6237,(559) 600-7323,http://www.fresnolibrary.org,6,Yes,,"4,999.48","969,012","78,967","156,759","235,726","733,286","288,360","54,965",1,29,2,7,37,39,"2,803,034","78,930",15.6,329,12,54,197.55,62.8,122.75,52,251.55,"$29,646,580 ","$27,468,068 ","$160,271 ","$100,272 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,917,969 ","$57,610 ","$25,185,194 ","$2,276,000 ","$462,719 ","$70,203 ","$738,872 ","$1,004,206 ","$532,922 ","$9,964,190 ","$7,822,133 ","$17,786,323 ",$0 ,"$5,122,871 ","$2,243 ","$526,213 ","$318,561 ","286,629","62,042","1,259,452","9,622","92,743","19,757","108,496","1,116","11,758","57,728",48,"902,953","897,486","25,182",48,"33,183","46,188","57,728","554,282","2,162,405","2,422,536","778,834","62,499","652,435","4,161,264",632,880,"468,476","8,382","3,003",536,"6,688","78,155","105,793","1,122","32,034","1,881","46,121","1,840","20,950","$10,316 ","$15,036 ","$7,776 ","$12,497 ","$6,650 ","$10,987 ","$4,857 ","$6,214 ","$3,726 ","$4,765 ","$4,104 ","$4,765 ","$2,203 ","$3,119 ","$5,966 ","$7,790 ","$1,827 ","$2,340 ",Yes,Yes,Yes,"530,712",371,"2,904,695",Yes,CA0040,16-17
FULLERTON PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,353 W. COMMONWEALTH AVE.,FULLERTON,92832,1796,(714) 738-6380,(714) 738-6326,www.fullertonlibrary.org,4,Yes,,22,"142,234","7,975","17,616","25,591","116,643","118,098","10,425",1,0,0,0,1,1,"431,867","2,877",8.35,58,1,11,15.2,7.2,7,10,26.2,"$4,012,369 ","$3,586,917 ","$13,430 ","$3,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$408,522 ",,"$3,595,111 ","$256,037 ","$153,894 ","$9,315 ","$83,967 ","$8,861 ","$163,209 ","$1,504,282 ","$562,685 ","$2,066,967 ",$0 ,"$1,272,107 ",$0 ,"$74,597 ",$0 ,"92,671","3,477",0,"1,725","9,237","2,138","14,561",158,"6,522","5,267",10,"179,914","1,512",0,10,"6,821","11,513","5,267","83,766","179,914","209,147","375,128","5,680","43,125","625,600",50,215,"70,797","1,146",380,52,827,"16,749","22,318",252,"9,208",128,"7,541",334,"4,742","$9,166 ","$10,000 ","$6,872 ","$6,872 ","$6,125 ","$7,445 ",$0 ,$0 ,"$4,338 ","$5,537 ","$5,574 ","$6,775 ","$3,373 ","$3,727 ",,,"$2,685 ","$3,264 ",Yes,Yes,Yes,"57,161",56,"340,000",Yes,CA0041,16-17
"GLENDALE LIBRARY, ARTS & CULTURE",Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,222 E. HARVARD ST.,GLENDALE,91205,1075,(818) 548-2030,(818) 548-2027,http://glendalepubliclibrary.org,3,Yes,,31,"201,748","10,692","19,570","30,262","171,486","164,310","26,579",1,7,0,0,8,8,"625,605","16,040",1.42,134,2,28.29,41.81,34.18,5.63,28.29,70.1,"$8,972,660 ","$8,674,525 ","$87,000 ",$0 ,"$655,000 ",$0 ,$0 ,$0 ,"$655,000 ","$211,135 ","$57,000 ","$8,674,524 ","$760,657 ","$371,657 ","$56,000 ","$250,000 ","$83,000 ","$427,657 ","$4,419,336 ","$1,844,711 ","$6,264,047 ","$6,147,506 ","$1,649,820 ",$0 ,"$111,500 ","$60,927 ","133,136","13,991",0,"2,586","53,394","1,991","24,913",669,"8,880","25,295",65,"413,167","5,843",843,65,"6,155","21,212","25,295","266,040","413,167","517,503","336,264","28,661","117,181","1,038,344","42,245","38,463","45,254","4,519","1,860",18,85,"35,633","47,734",751,"14,265","1,109","21,368","2,641","12,016","$9,924 ","$15,914 ","$8,861 ","$12,889 ","$7,157 ","$10,410 ","$5,531 ","$8,046 ","$4,333 ","$6,650 ","$3,309 ","$5,088 ","$3,309 ","$5,088 ","$6,104 ","$8,879 ","$2,939 ","$4,510 ",Yes,Yes,Yes,"54,128",129,"551,033",No,CA0042,16-17
GLENDORA LIBRARY & CULTURAL CENTER,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,140 SOUTH GLENDORA AVE.,GLENDORA,91741,3499,(626) 852-4891,(626) 852-4891,http://www.glendoralibrary.org,3,Yes,,19,"52,608","2,403","6,852","9,255","43,353","46,664","6,766",1,0,0,0,1,1,"296,188","2,578",5.46,33,3.51,5.52,16.34,7.81,5.02,5.52,21.86,"$2,157,402 ","$2,013,000 ","$25,376 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$119,026 ","$25,376 ","$1,942,491 ","$153,468 ","$53,920 ","$19,293 ","$66,003 ","$14,252 ","$73,213 ","$1,001,560 ","$305,612 ","$1,307,172 ","$65,000 ","$481,851 ",$0 ,"$32,477 ","$34,588 ","25,864","4,471",16,974,"9,416","1,236","6,643",185,"2,867","13,251",28,"95,349","5,339",212,28,"1,274","4,099","13,251","65,014","95,365","124,888","130,350",430,"17,351","302,895",350,264,"36,453",953,430,35,975,"28,208","29,806",162,"10,049",268,"18,159",58,623,"$10,365 ","$12,945 ",,,"$4,877 ","$5,928 ",,,"$3,893 ","$4,731 ","$4,282 ","$5,205 ","$2,992 ","$3,636 ","$4,877 ","$5,928 ",,,No,No,No,"26,215",14,"117,709",Yes,CA0043,16-17
HARRISON MEMORIAL LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,OCEAN & LINCOLN AVE.,CARMEL,93921,800,(831) 624-1366,(831) 624-7323,http://hm-lib.org,4,Yes,,1,"3,842",84,226,310,"3,532","9,233",635,1,1,0,0,2,2,"84,626","4,056",0.95,21,0.3,5,6.58,0,6.28,5,11.58,"$1,371,284 ","$1,022,596 ","$2,863 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$345,825 ",,"$1,309,773 ","$178,153 ","$115,676 ","$8,758 ","$29,410 ","$24,309 ","$124,434 ","$771,915 ","$250,681 ","$1,022,596 ",$0 ,"$109,024 ","$4,940 ","$14,786 ",$0 ,"13,938","1,982",0,495,"3,641",617,"5,470",108,"5,283","75,348",30,"67,396","5,491","1,026",30,"1,010","5,557","75,348","51,476","67,396","151,993","27,758",0,"10,538","117,334",285,155,"19,252",106,60,12,107,"1,732","3,174",27,"1,168",33,564,34,"1,335","$9,994 ","$12,147 ",,,"$4,761 ","$5,787 ",,,"$4,308 ","$5,237 ",,,"$3,709 ","$4,510 ",,,"$3,479 ","$4,230 ",No,No,No,"8,516",16,"38,846",No,CA0021,16-17
HAYWARD PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,835 C STREET,HAYWARD,94541,5120,(510) 881-7954,(510) 293-8685,hayward-ca.gov/public-library,3,Yes,,56,"161,040","11,870","19,570","31,440","129,600","108,361","25,654",1,1,0,0,2,2,"378,662","4,760",12,48,4.5,11,23.1,5.1,13.5,9,34.1,"$5,074,971 ","$4,742,016 ","$56,318 ","$100,587 ","$17,327,240 ",$0 ,$0 ,$0 ,"$17,327,240 ","$176,050 ","$56,318 ","$5,030,008 ","$265,711 ","$143,943 ","$11,882 ","$37,146 ","$72,740 ","$155,825 ","$2,416,308 ","$1,025,317 ","$3,441,625 ","$17,372,240 ","$1,322,672 ",$0 ,"$57,317 ","$260,300 ","44,391","6,074",0,814,"5,912","4,519","17,984",169,"8,300","35,000",2,"129,407","10,000",0,2,"6,500","14,400","35,000","78,942","129,407","188,474","189,121","31,000","11,898","593,572","4,687","7,126","18,139","4,696","1,375","1,022","13,035","42,541","70,051",475,"15,653",900,"26,888",924,"14,475","$13,400 ","$16,289 ",,,"$7,490 ","$9,100 ","$7,490 ","$9,100 ","$5,330 ","$6,468 ","$5,330 ","$6,468 ","$4,170 ","$4,995 ","$7,490 ","$9,100 ",,,No,No,No,"56,184",55,,Yes,CA0044,16-17
HEMET PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,300 E. LATHAM AVE,HEMET,92543,4222,(951) 765-2440,(951) 765-2440,http://www.cityofhemet.org/library/,0,No,.15 B/W .35 COLOR,27.56,"81,868","5,895","13,461","19,356","62,512","149,965","6,773",1,0,0,1,2,2,"301,872","1,976",30,14,1,3,7,2,4,2,10,"$1,584,942 ","$1,487,500 ","$24,981 ",$0 ,"$201,000 ",$0 ,$0 ,$0 ,"$201,000 ","$72,461 ","$24,981 ","$1,486,680 ","$151,988 ","$120,863 ","$9,250 ","$12,000 ","$9,875 ","$130,113 ","$394,200 ","$319,800 ","$714,000 ","$201,000 ","$620,692 ",$0 ,"$28,350 ","$25,391 ","25,863","5,277",0,314,"2,252","1,679","5,742",215,"9,267",305,8,"101,451","6,012","3,455",8,"1,378","7,644",305,"70,311","101,451","109,973","117,575","5,192","3,820","305,714",0,0,"222,573",346,59,12,192,"5,997","9,386",45,"3,477",14,"2,520",216,"3,197","$5,226 ","$5,590 ",,,,,,,"$3,992 ","$5,094 ","$4,516 ","$5,764 ","$3,250 ","$4,469 ",,,"$2,539 ","$3,706 ",No,No,Yes,"56,214",38,"295,710",Yes,CA0045,16-17
HUMBOLDT COUNTY LIBRARY,Humboldt,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1313 THIRD ST.,EUREKA,95501,553,(707) 269-1918,(707) 269-1905,http://www.co.humboldt.ca.us/library/,4,Yes,,"3,573.00","136,953","7,197","15,290","22,487","114,466","101,378","18,522",1,2,1,8,11,12,"380,649","14,022",3.5,57,1,8,22,2,19,8,30,"$3,683,083 ","$2,425,764 ","$63,451 ",$68 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,193,800 ","$32,958 ","$3,646,458 ","$208,543 ","$123,186 ","$23,050 ","$37,624 ","$24,683 ","$146,236 ","$1,555,641 ","$782,313 ","$2,337,954 ","$43,067 ","$1,099,961 ","$1,000 ","$26,910 ","$32,958 ","82,778","9,791",500,"1,873","14,389","2,932","14,677",401,"11,936","6,690",6,"259,369","2,748",0,6,"3,531","14,324","6,690","166,800","259,869","296,032","160,028",815,"18,177","558,642",901,623,"38,932","1,852",829,50,308,"15,426","18,210",565,"8,780",264,"6,646",144,"2,476","$8,667 ","$9,339 ",,,"$8,708 ","$8,708 ","$6,460 ","$8,289 ","$2,981 ","$3,825 ","$6,460 ","$8,289 ","$4,983 ","$6,395 ",,,"$3,246 ","$4,165 ",Yes,Yes,No,"81,000",46,"98,186",No,CA0039,16-17
HUNTINGTON BEACH PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,7111 TALBERT AVE,HUNTINGTON BEACH,92648,1232,(714) 960-8836,(714) 842-4481,http://www.hbpl.org,3,No,0.15,26,"197,574","9,681","22,720","32,401","165,173","135,077","11,831",1,0,0,4,5,5,"824,849","11,232",27.37,96,5,10,35.65,25.9,4.75,9,45.65,"$4,720,872 ","$4,320,273 ","$53,357 ","$13,686 ","$93,000 ",$0 ,$0 ,$0 ,"$93,000 ","$333,556 ","$53,357 ","$4,721,245 ","$530,910 ","$312,625 ","$17,490 ","$151,795 ","$49,000 ","$330,115 ","$2,585,044 ","$1,199,381 ","$3,784,425 ","$93,000 ","$405,910 ",$0 ,"$104,625 ","$277,537 ","104,625","9,134",0,597,"10,213","1,381","10,026",183,"10,512","71,422",14,"263,045","23,117","4,608",14,"7,511","18,297","71,422","149,286","263,045","354,903","471,384","7,521","67,207","1,010,849",50,29,"59,969","4,583","1,878",123,"1,408","81,786","109,358",823,"54,519","1,055","27,267",704,"26,164","$12,123 ","$15,021 ","$6,900 ","$8,549 ","$5,940 ","$7,358 ","$5,039 ","$6,242 ","$5,039 ","$6,242 ","$5,039 ","$6,242 ","$4,189 ","$5,190 ","$5,039 ","$6,242 ","$3,519 ","$4,359 ",Yes,Yes,Yes,"78,702",71,"783,642",Yes,CA0046,16-17
IMPERIAL COUNTY LIBRARY,Imperial,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Serra Cooperative Library System,1125 W. MAIN STREET,EL CENTRO,92243,9516,(442) 265-7100,-1,http://www.co.imperial.ca.us/Library,4,Yes,,"4,275.00","56,199","4,025","7,078","11,103","45,096","6,551","2,308",0,2,0,2,4,4,"41,666","5,950",3,11,1,1,6.5,2.5,3,1,7.5,"$529,907 ","$440,853 ","$33,529 ","$9,380 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$46,145 ","$24,796 ","$529,907 ","$14,097 ","$12,787 ",$0 ,"$1,000 ",$310 ,"$12,787 ","$277,969 ","$111,373 ","$389,342 ",$0 ,"$126,468 ",$0 ,"$10,230 ","$58,722 ","23,437","2,733",5,150,"1,305",340,"1,798",0,"3,399",150,2,"62,195",0,0,2,"1,869","3,200",150,"36,025","62,200","65,455","29,288","2,890",-1,"40,982",4,0,"2,280",636,201,19,232,"3,235","4,723",128,"1,172",73,"2,063",215,"1,256","$7,524 ","$9,605 ",,,,,,,,,,,"$2,321 ","$2,966 ",,,"$2,237 ","$2,859 ",No,No,No,"12,107",19,,No,CA0047,16-17
IMPERIAL PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,200 W. NINTH ST.,IMPERIAL,92251,1213,(760) 355-1332,(760) 355-1332,http://www.cityofimperial.org/public-library,3,No,,7,"18,658","2,097","5,646","7,743","10,915","7,374","2,554",1,0,0,0,1,1,"26,390","2,504",0.4,7,1,0,4.5,2,1.5,0,4.5,"$250,585 ","$205,702 ","$20,333 ","$15,700 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$8,850 ","$20,333 ","$204,427 ","$10,001 ","$6,764 ",$964 ,$169 ,"$2,104 ","$7,728 ","$143,354 ","$34,059 ","$177,413 ","$2,759 ","$17,013 ",$0 ,"$2,520 ","$13,291 ","16,146",-1,0,381,640,186,945,14,"2,416","3,375",1,"35,782",418,0,1,"1,199","2,428","3,375",,"35,782","40,757","18,177",651,418,"25,283",32,38,"1,526",212,60,0,0,"1,775","2,131",28,620,32,"1,155",92,356,"$4,572 ","$4,984 ","$3,260 ","$3,340 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,No,No,Yes,"2,781",11,,No,CA0048,16-17
INGLEWOOD PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 W. MANCHESTER BLVD.,INGLEWOOD,90301,1771,(310) 412-5397,(310) 412-5380,http://library.cityofinglewood.org,3,No,.15/page,9,"114,900","7,573","15,716","23,289","91,611","87,731","12,572",1,1,0,0,2,2,"125,000","3,237",1,53,0.46,11.65,22.94,20.48,2,10.65,34.59,"$3,240,458 ","$3,240,458 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,"$3,240,458 ","$404,116 ","$140,116 ","$154,179 ","$98,581 ","$11,240 ","$294,295 ","$1,592,924 ","$1,005,093 ","$2,598,017 ",$0 ,"$238,325 ",$0 ,"$26,900 ",$750 ,"65,015","11,253","7,240",65,"3,100",775,"4,250",312,"18,079",830,41,"259,892","5,589",325,41,"1,750","18,079",830,"183,624","267,132","275,665","42,129","3,425","12,403","96,968",0,0,"8,960",372,132,22,220,"3,358","4,503",31,586,101,"2,772",86,925,"$8,651 ","$12,255 ",,,"$4,810 ","$6,813 ","$4,268 ","$6,047 ","$4,268 ","$6,047 ","$4,268 ","$6,047 ","$3,446 ","$4,882 ","$5,055 ","$7,161 ","$2,385 ","$3,732 ",No,No,Yes,"4,221",46,,Yes,CA0049,16-17
INYO COUNTY FREE LIBRARY,Inyo,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,Inland Library System,168 N. EDWARDS,INDEPENDENCE,93526,610,(760) 878-0359,(760) 878-0260,http://www.countyofinyo.org/library/index.htm,4,Yes,,"10,091.00","18,619","1,088","2,013","3,101","15,518","9,072",-1,1,1,0,4,6,6,,"6,732",0.64,9,0,3,3,0,3,0,6,"$478,625 ","$457,707 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$20,918 ",,"$478,626 ","$33,277 ","$23,516 ","$5,761 ","$4,000 ",$0 ,"$29,277 ","$289,658 ","$106,747 ","$396,405 ",$0 ,"$48,944 ","$1,156 ","$8,486 ",$0 ,"20,356","1,792",500,61,"1,575",652,"5,025",132,"1,590","76,571",1,"114,004","3,540",30,1,399,"1,788","76,571","91,856","114,504","197,808","7,694",-1,76,"40,529",0,0,"4,367",216,52,0,0,987,"1,790",23,434,29,553,112,803,"$4,601 ","$5,589 ",$0 ,$0 ,"$3,471 ","$4,216 ","$3,232 ","$3,927 ","$3,014 ","$3,665 ",$0 ,$0 ,"$2,749 ","$3,343 ",$0 ,$0 ,"$2,502 ","$3,191 ",Yes,Yes,No,"9,326",21,,No,CA0050,16-17
IRWINDALE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,5050 N. IRWINDALE AVE.,IRWINDALE,91706,2193,(626) 430-2228,(626) 430-2229,www.irwindaleca.gov,3,Yes,,10,"1,423",105,270,375,"1,048","5,063","1,285",1,0,0,0,1,1,"20,580","2,316",0,14,2,1,6,3,1,1,7,"$362,162 ","$357,962 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,200 ",,"$337,606 ","$35,328 ","$22,083 ","$2,942 ","$4,537 ","$5,766 ","$25,025 ","$228,223 ","$63,529 ","$291,752 ",$0 ,"$10,526 ",$0 ,"$12,890 ",$0 ,"9,020","1,519",1,132,606,798,"3,549",57,"2,460","56,847",0,"15,298",0,0,0,835,"2,460","56,847","4,759","15,299","76,358","13,836",353,"30,001","60,377",0,29,"4,230",170,79,2,25,965,"1,044",27,128,52,837,10,54,"$6,801 ","$8,267 ",,,,,,,,,,,"$2,937 ","$3,570 ",,,"$2,146 ","$2,608 ",No,No,Yes,"6,260",12,"4,945",No,CA0161,16-17
KERN COUNTY LIBRARY,Kern,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,701 TRUXTUN AVE.,BAKERSFIELD,93301,4816,(661) 868-0700,(661) 868-0770,http://kerncountylibrary.org,6,Yes,,"8,141.00","895,112","70,034","143,423","213,457","681,655","141,421","27,305",1,3,3,20,24,27,"1,104,990","36,749",11.63,119,4,12,72.23,55.73,12.5,11,84.23,"$7,781,774 ","$7,103,267 ",$0 ,"$77,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$601,507 ",,"$7,781,774 ","$600,778 ","$510,100 ","$7,854 ","$48,753 ","$34,071 ","$517,954 ","$3,296,025 ","$2,132,461 ","$5,428,486 ",$0 ,"$1,752,510 ",$0 ,"$60,078 ",$0 ,"194,538","40,518","14,992","3,270","36,350","3,213","24,808",235,"6,596","15,686",25,"724,564","2,509",0,25,"10,267","24,931","15,686","489,508","739,556","816,660","442,701","23,596","103,033","965,330","95,612","68,744","98,504","14,677","6,450",559,"5,400","91,644","111,428","1,779","22,583","4,671","69,061","1,218","14,384","$8,460 ","$10,329 ","$5,649 ","$6,896 ","$5,649 ","$6,896 ","$4,605 ","$5,621 ","$3,751 ","$4,579 ","$3,942 ","$4,813 ","$2,865 ","$3,498 ","$5,850 ","$7,141 ","$2,199 ","$2,685 ",Yes,Yes,Yes,"173,052",242,"3,707,682",No,CA0051,16-17
KINGS COUNTY LIBRARY,Kings,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,401 N. DOUTY ST.,HANFORD,93230,3908,(559) 852-4005,(559) 852-4003,http://www.kingscountylibrary.org/,3,No,0.25,"1,396.00","149,537","14,269","26,098","40,367","109,170","30,279","5,714",1,0,0,6,7,7,"165,275","12,584",27,17.51,2,5,12.51,10.51,0,3,17.51,"$2,365,072 ","$2,248,803 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$116,269 ",,"$2,149,859 ","$209,135 ","$123,000 ",$0 ,"$51,135 ","$35,000 ","$123,000 ","$924,286 ","$331,381 ","$1,255,667 ",$0 ,"$685,057 ",$0 ,"$35,000 ",$0 ,"51,026","11,339",0,205,"2,351","1,637","10,427",228,"2,929","1,733",26,"163,765",124,0,26,"3,516","8,483","1,733","101,400","163,765","178,530","93,931","4,211","3,670","238,145","25,586","25,650","6,542",391,188,2,157,"3,578","4,720",85,873,103,"2,705",13,985,"$8,500 ","$12,000 ","$5,639 ","$6,883 ",,,,,"$3,749 ","$4,576 ","$4,143 ","$5,054 ","$2,146 ","$3,167 ","$5,105 ","$6,231 ","$2,000 ","$2,444 ",Yes,Yes,Yes,"44,689",70,"121,311",Yes,CA0053,16-17
LAKE COUNTY LIBRARY,Lake,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1425 N. HIGH ST,LAKEPORT,95453,3800,(707) 263-8817,(707) 263-8816,http://library.lakecountyca.gov,6,Yes,,"1,296.00","64,945","3,657","7,057","10,714","54,231","41,665","3,114",1,0,0,3,4,4,,"6,080",1.56,15,0.5,1,9.35,3.85,5,1,10.35,"$1,031,441 ","$872,140 ","$76,262 ","$5,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$77,539 ","$29,004 ","$1,047,297 ","$40,298 ","$28,568 ","$2,993 ","$7,579 ","$1,158 ","$31,561 ","$401,433 ","$167,354 ","$568,787 ",$0 ,"$438,212 ",$843 ,"$12,253 ","$79,978 ","40,560","4,351",0,656,"4,080","1,278","6,829",45,"3,750","304,318",4,"145,584","325,986","15,427",4,"1,268","5,835","304,318","100,673","145,584","460,860","54,590",586,"15,320","196,198","94,841","42,418","1,248",633,259,25,192,"7,466","8,652",158,"3,850",101,"3,616",90,994,"$5,734 ","$6,971 ",,,,,"$3,607 ","$4,385 ",,,"$3,272 ","$3,978 ","$2,501 ","$3,040 ","$2,757 ","$3,352 ","$1,960 ","$2,381 ",Yes,Yes,Yes,"29,020",30,"46,002",No,CA0054,16-17
