Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Literacy Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Reference Questions,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs,Children's Program Attendance,# of Young Adult Programs,Young Adult Program Attendance,# of Adult Programs,Adult Program Attendance,"Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,Vulnerable populations,Personal economic development,Crisis support,Personal learning and knowledge development,Social capital,FSCS ID,Fiscal Year
BANNING LIBRARY DISTRICT,Riverside,Special District Library,School District (most nearly),Member of a Federation or Cooperative,School District,Inland Library System,21 W. NICOLET ST.,BANNING,92220,4607,9518493192,(951) 849-3192,http://www.banninglibrarydistrict.org/,306,"31,562","30,130","5,239",1,0,0,1,"9,583","$1,049,629 ",$0 ,$0 ,"$31,794 ","$1,081,423 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$383,859 ","$65,859 ","$449,718 ","$48,003 ","$5,687 ","$53,690 ","$14,698 ",$0 ,"$68,388 ","$385,634 ","$903,740 ","$22,876 ",15,2,2,8,10,0,"16,930","2,636","54,487","96,357","1,890","8,340","3,699",268,9,1,10,89,"2,800","84,683","6,833","40,691","11,321","1,434","3,442","6,400","9,842","44,133","50,533",132,48,281,"2,942",65,464,109,566,8,186,455,"3,972",Yes,"10,939","27,644","11,354",14,Yes,Yes,No,Yes,No,CA0167,18-19
BEAUMONT LIBRARY DISTRICT,Riverside,Special District Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,Library District,Inland Library System,125 E. EIGHTH ST.,BEAUMONT,92223,2194,9518451357,(951) 845-1357,http://bld.lib.ca.us,60,"56,325","42,524","10,339",1,0,1,2,"11,697","$1,423,571 ","$87,285 ","$18,095 ","$34,707 ","$1,563,658 ","$22,766 ","$150,000 ",$0 ,$0 ,"$1,273 ","$151,273 ","$811,409 ","$283,171 ","$1,094,580 ","$100,833 ","$1,852 ","$102,685 ","$28,496 ","$19,622 ","$150,803 ","$359,654 ","$1,605,037 ","$12,945 ",20,7.25,7.25,5.5,12.75,2.5,"17,185","2,912","52,825","79,023",536,"8,291","7,542",291,12,4,16,28,"3,018","150,000","14,368","131,338","53,931","2,842","4,782","71,913","76,695","136,120","208,033",0,4,263,"10,741",108,898,83,"1,590",695,"8,258",454,"13,229",Yes,"9,158","25,972",,8,Yes,Yes,Yes,Yes,Yes,CA0168,18-19
BELVEDERE-TIBURON LIBRARY,Marin,Joint Powers Authority,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,1501 TIBURON BLVD,TIBURON,94920,2530,4157892665,(415) 789-2661,https://beltiblibrary.org,4,"11,510","8,355","1,034",1,0,0,1,"10,500","$2,400,254 ",$0 ,$0 ,"$204,807 ","$2,605,061 ",$0 ,$0 ,$0 ,$0 ,"$800,025 ","$800,025 ","$1,373,254 ","$374,390 ","$1,747,644 ","$104,418 ","$16,100 ","$120,518 ","$36,582 ","$8,592 ","$165,692 ","$468,562 ","$2,381,898 ","$860,789 ",38,12,12,5,17,8,"16,767","2,697","49,633","598,521","7,500","389,889","5,216","45,252",31,2,33,845,"3,020",,"16,071","190,639","67,955","8,402","23,625","23,157","46,782","214,264","237,421","42,709","20,186",439,"11,319",145,"1,451",475,"6,610",3,"2,935","1,059","19,380",No,"13,527","107,908","43,300",23,Yes,Yes,No,Yes,Yes,CA0197,18-19
BENICIA PUBLIC LIBRARY,Solano,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,150 E. L ST.,BENICIA,94510,3281,7077464343,(707) 746-4343,https://www.benicialibrary.org,13,"27,570","17,120","3,036",1,0,0,1,"31,700","$1,968,180 ","$21,772 ",$0 ,"$141,180 ","$2,131,132 ","$21,772 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,146,058 ","$479,741 ","$1,625,799 ","$100,321 ","$7,135 ","$107,456 ","$13,751 ","$58,668 ","$179,875 ","$325,458 ","$2,131,132 ",$0 ,51,6,6,13.43,19.43,3.72,"38,017","5,185","88,804","134,296","7,599","12,115","7,663",45,18,4,22,157,"3,023","196,682","25,026","227,822","92,845","2,289","23,875","19,465","43,340","251,697","271,162","80,971","43,625",561,"12,754",179,"3,297",455,"4,365",216,"5,184","1,195","20,416",No,"24,659","122,974","38,542",20,Yes,Yes,No,Yes,Yes,CA0163,18-19
BERKELEY PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,2090 KITTREDGE STREET,BERKELEY,94704,1427,5109816195,(510) 981-6148,http://www.berkeleypubliclibrary.org/,11,"123,328","110,229","13,168",1,4,0,5,"137,665","$19,670,116 ","$57,852 ",$0 ,"$292,136 ","$20,020,104 ","$57,852 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$8,642,508 ","$5,278,219 ","$13,920,727 ","$1,030,653 ","$54,327 ","$1,084,980 ","$499,432 ","$192,027 ","$1,776,439 ","$3,051,133 ","$18,748,299 ","$49,132 ",155,37.3,37.3,76.8,114.1,0.53,"147,537","15,512","421,608","477,950","42,312","321,368","42,983","52,148",18,3,21,330,"13,624","1,083,038","102,102","1,916,763","780,467","31,399","487,829","66,030","553,859","2,404,592","2,470,622","23,599","29,384","1,395","47,748",566,"7,014",906,"16,505",563,"18,647","2,867","71,267",No,"159,106","946,287","104,325",143,Yes,Yes,Yes,Yes,Don't know,CA0011,18-19
BEVERLY HILLS PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,444 N. REXFORD DR.,BEVERLY HILLS,90210,4877,3102882220,(310) 288-2244,http://www.bhpl.org,6,"34,627","30,525","4,666",1,1,0,2,"72,700","$11,866,487 ","$30,547 ",$0 ,"$547,096 ","$12,444,130 ","$30,547 ","$1,268,182 ",$0 ,$0 ,$0 ,"$1,268,182 ","$4,668,305 ","$1,220,460 ","$5,888,765 ","$146,916 ","$26,154 ","$173,070 ","$281,764 ","$49,646 ","$504,480 ","$6,050,885 ","$12,444,130 ","$122,990 ",109,18,18,40,58,0.5,"53,576","2,415","158,032","452,796","19,578","76,668","10,357","38,745",54,2,56,170,"5,250","624,916","103,815","466,209","246,973","3,009","25,145",,"25,145","491,354","491,354","1,043",209,432,"19,093",4,114,43,"1,357",94,"4,991",479,"20,564",Yes,"35,700","409,084","1,409,830",60,Yes,Yes,No,Yes,Yes,CA0012,18-19
BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT,Ventura,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,Black Gold Cooperative Library System,119 N. EIGHTH ST.,SANTA PAULA,93060,2709,8055253615,(805) 525-3615,http://www.blanchardlibrary.org,108,"30,779","10,855","2,447",1,0,0,1,"22,554","$844,522 ","$79,560 ",$0 ,"$143,254 ","$1,067,336 ","$73,560 ","$3,482 ",$0 ,$0 ,$0 ,"$3,482 ","$472,319 ","$127,323 ","$599,642 ","$23,713 ","$3,700 ","$27,413 ","$13,353 ",$0 ,"$40,766 ","$221,675 ","$862,083 ",$0 ,18,1,2,7.83,9.83,4,"24,359","2,793","77,210","203,902","1,075","16,419","2,675",443,4,2,6,61,"1,872","106,997","2,639","82,667","48,800","5,543","10,184","10,184","20,368","92,851","103,035","22,173","6,870",291,"6,636",33,402,110,887,8,,434,"7,925",Yes,"14,925",,"9,432",21,Yes,Yes,No,Yes,Yes,CA0131,18-19
BRAWLEY PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,400 MAIN ST.,BRAWLEY,92227,2491,7603441891,(760) 344-1891,brawley-ca.gov/section/Library,5,"27,337","9,467","2,865",1,1,0,2,"9,250","$487,892 ","$50,010 ",$0 ,$0 ,"$537,902 ","$50,010 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$287,207 ","$82,513 ","$369,720 ","$27,789 ","$3,800 ","$31,589 ",$0 ,$0 ,"$31,589 ","$83,942 ","$485,251 ",$0 ,8,0,1,7,8,4,"17,453","2,869","49,902",0,"2,873",0,702,0,1,0,1,41,"2,636","58,755","5,264","74,212","35,488","9,612",0,0,0,"74,212","74,212",12,18,34,"1,241",10,132,8,219,5,611,52,"1,592",Yes,"6,411",,,19,Yes,Yes,No,Yes,Yes,CA0013,18-19
BUENA PARK LIBRARY DISTRICT,Orange,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,Santiago,7150 LA PALMA AVE.,BUENA PARK,90620,2547,7148264100,(714) 826-4100,http://www.buenaparklibrary.org/,12,"83,384","25,124","4,675",1,0,0,1,"45,750","$2,002,831 ",$0 ,"$21,019 ","$1,945,101 ","$3,968,951 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,489,298 ","$1,535,788 ","$3,025,086 ","$78,115 ","$5,060 ","$83,175 ","$71,112 ","$25,335 ","$179,622 ","$492,937 ","$3,697,645 ","$705,634 ",42,7,7,23,30,1.5,"43,810","5,662","106,345","26,105","7,227","6,601","8,164","4,648",18,1,19,87,"2,808","234,937","35,555","315,701","197,994","12,479","19,957","8,155","28,112","335,658","343,813",0,9,552,"30,650",52,"1,049",111,"1,501",122,"4,097",715,"33,200",No,"26,974","62,960","42,889",22,Yes,Yes,No,Yes,Yes,CA0014,18-19
BURBANK PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,110 N. GLENOAKS BLVD.,BURBANK,91502,1203,8182385551,(818) 238-5580,http://www.BurbankLibrary.org,17,"105,952","111,321","8,172",1,2,0,3,"79,190","$6,993,901 ","$27,709 ",$0 ,"$104,065 ","$7,125,675 ","$27,709 ",$0 ,$0 ,"$70,620 ",$0 ,"$70,620 ","$3,476,302 ","$1,500,321 ","$4,976,623 ","$250,200 ","$15,005 ","$265,205 ","$124,710 ","$63,340 ","$453,255 ","$1,083,155 ","$6,513,033 ",$0 ,94,24.64,24.64,39.95,64.59,6.75,"136,214","23,725","348,119","4,843","26,253","1,868","44,613",19,16,4,20,353,"7,650","720,994","85,301","852,802","312,599","18,114","44,926","23,654","68,580","897,728","921,382",366,66,362,"23,479",58,963,197,"4,688",66,"2,885",617,"29,130",No,"179,600","438,730","56,726",90,Yes,Yes,No,Yes,Yes,CA0015,18-19
BURLINGAME PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,480 PRIMROSE RD.,BURLINGAME,94010,4083,6505587400,(650) 558-7400,http://www.burlingame.org/library,6,"38,163","28,879","7,448",1,1,0,2,"50,000","$5,348,119 ",$0 ,$0 ,"$230,413 ","$5,578,532 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,503,064 ","$1,350,014 ","$3,853,078 ","$247,299 ","$20,933 ","$268,232 ","$91,984 ","$55,224 ","$415,440 ","$1,310,014 ","$5,578,532 ",$0 ,85,12.98,12.98,20.83,33.81,7.51,"56,214","6,831","193,615","51,432","9,972","16,861","13,703","17,161",37,1,38,298,"4,784","353,073","53,200","661,033","346,401","9,772","58,848","10,870","69,718","719,881","730,751","91,954","52,113",803,"38,573",238,"4,567",274,"5,063",204,"5,055","1,315","48,203",No,"38,221","115,148","596,903",71,Yes,Yes,No,Yes,Yes,CA0016,18-19
BUTTE COUNTY LIBRARY,Butte,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1820 MITCHELL AVENUE,OROVILLE,95966,5387,5305387525,(530) 538-7642,http://www.buttecounty.net/bclibrary,"1,675.00","226,466","121,445","12,318",0,6,0,6,"60,181","$3,298,630 ","$108,481 ","$84,289 ","$121,955 ","$3,613,355 ","$92,981 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,419,490 ","$548,225 ","$1,967,715 ","$10,500 ","$15,791 ","$26,291 ","$45,470 ","$24,961 ","$96,722 ","$1,400,072 ","$3,464,509 ",$0 ,29,7,7,22,29,11,"63,777","9,980","192,794","135,843","4,166","20,405","9,578",0,16,4,20,189,"8,652","476,732","34,744","704,523","245,879","1,366","60,156","1,033","61,189","764,679","765,712",115,130,674,"21,205",143,"1,417",442,"4,377",298,"3,723","1,259","26,999",No,"55,530","214,485","38,485",62,Yes,No,Yes,Yes,Yes,CA0017,18-19
CALABASAS CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,200 CIVIC CENTER WAY,CALABASAS,91302,4114,8182257616,(818) 225-7616,http://www.cityofcalabasas.com/library.html,13,"24,239","59,500","18,981",1,0,0,1,"27,000","$1,638,066 ",$0 ,$0 ,"$80,999 ","$1,719,065 ",$0 ,"$780,122 ",$0 ,$0 ,$0 ,"$780,122 ","$907,928 ","$183,907 ","$1,091,835 ","$42,147 ","$7,264 ","$49,411 ","$117,816 ","$10,005 ","$177,232 ","$180,242 ","$1,449,309 ","$780,122 ",23,4,4,10,14,0.25,"28,012","5,642","70,496","6,809","4,195","8,500","4,200","24,779",28,2,30,54,"2,182","179,000","21,764","117,736","73,791",709,"35,830","26,800","62,630","153,566","180,366",45,259,243,"10,300",150,"1,491",79,"1,188",8,400,472,"12,979",No,"9,615",,"109,500",21,Yes,Yes,Yes,Yes,Yes,CA0201,18-19
