Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,# of Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded,Electronic Collections State Funded (no more than 6),# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge late fines?,Charge per day for Adults,For Young Adults,For Children,Do you lend laptops?,Do you lend hot spots?,Circulation of Childrens Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,Circulation of Other Physical Items,Physical Item Circulation,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Total Program Attendance,# of Children's Programs (calculated),Children's Program Attendance,# of Pre School Programs,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Pre-School Program Attendance,Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of School Aged Programs,# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",School Aged Program Attendance,Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs,# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance,Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs,# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance,Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of Programs for all ages,# of Programs for all ages (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance,General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Website visits,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,# of self-directed activities,# of participants,Describe activities,FSCS ID,Fiscal Year
CORONA PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,650 SOUTH MAIN ST.,CORONA,92882,3417,(951) 736-2381,(951) 736-2404,http://www.coronaca.gov/library,38,No,Yes,Yes,Yes,Yes,No,No,Yes,"169,454","134,477","90,262",1,0,1,2,"62,300","$2,162,335 ","$112,333 ","$10,000 ","$25,259 ","$2,309,927 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,271,632 ","$656,669 ","$1,928,301 ","$59,500 ","$2,500 ","$62,000 ","$75,334 ","$6,000 ","$143,334 ","$143,376 ","$2,215,011 ",$0 ,47,7,7,12,19,7.1,"48,468","4,275","84,383","3,625","4,573",204,"92,785",8,"81,201",717,"25,461",3,3,6,"1,543","62,561",Annual Count,"4,001",Annual Count,No,,,,No,No,"117,569","4,807",0,0,"30,360","152,698","29,997","69,252",,"99,249","251,947",Yes,571,"12,766",121,"2,366",,22,20,2,,274,269,5,,99,16,83,,"2,092","1,585",507,,159,10,149,,852,170,682,,90,34,56,,"2,078","1,093",985,,201,141,60,,"7,470","5,956","1,514",88,"4,000",437,"12,806","4,050",Yes,"3,946",Annual Count,"178,559","8,465",Annual Count,13,1,500,Storywalk,CA0029,20-21
CORONADO PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,640 ORANGE AVE.,CORONADO,92118,1526,(619) 522-7390,(619) 522-2484,http://www.coronado.ca.us/library,5,Yes,Yes,Yes,No,Yes,No,No,Yes,"22,357","29,003","3,575",1,0,0,1,"40,000","$3,428,303 ","$144,189 ",$0 ,$0 ,"$3,572,492 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,317,543 ","$685,736 ","$2,003,279 ","$116,902 ","$15,309 ","$132,211 ","$118,789 ","$68,210 ","$319,210 ","$439,654 ","$2,762,143 ",$0 ,34,7.75,7.75,17,24.75,0.11,"40,389","7,219","134,978","10,019","19,687","19,056","183,740",260,"10,584","2,012","30,000",38,3,41,"2,324","114,933",Annual Count,-1,Annual Count,Yes,$0.20 ,$0.05 ,$0.05 ,No,No,"12,439",116,32,80,0,"38,887","35,207","89,711",,"124,918","163,805",No,501,"15,188",,,,,,,-1,,,,,,,,-1,,,,188,188,,,"4,110","4,110",,,248,248,,,"6,659","6,659",,,65,65,,,"4,419","4,419",,,-1,-1,65,"4,419",-1,Yes,"1,504",Annual Count,"2,099","1,185",Annual Count,22,-1,-1,,CA0160,20-21
COVINA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,234 N. SECOND AVE.,COVINA,91723,2198,(626) 384-5297,(626) 384-5303,http://www.covinaca.gov/library,7,Yes,Yes,Yes,Yes,Yes,No,No,No,"48,833","33,071","5,914",1,0,0,1,"20,144","$890,439 ","$71,664 ","$28,282 ","$32,040 ","$1,022,425 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$436,640 ","$163,063 ","$599,703 ","$30,996 ","$2,539 ","$33,535 ","$6,000 ","$5,098 ","$44,633 ","$191,563 ","$835,899 ",$0 ,23,1,2,9.27,11.27,0.06,"35,498","4,379","93,013","5,089","4,032",269,"102,403",75,"23,976","9,133",268,1,1,2,94,"1,273",Annual Count,"1,200",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,No,No,"6,670",180,18,0,0,"10,663","5,880",-1,,"5,880","16,543",Yes,262,"1,171",15,474,,15,0,15,,474,0,474,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,235,0,235,,534,0,534,,12,0,12,,163,0,163,0,0,0,0,0,Yes,83,Annual Count,-1,-1,,15,37,"1,120","We did several Grab and Go bag activities: Kids Crafts, MakerSpace, Bright Beginnings (sensory activities for children 6 months - 3 years), and Tween/Teen crafts. ",CA0030,20-21
CROWELL PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1890 HUNTINGTON DR.,SAN MARINO,91108,2542,(626) 300-0779,(626) 300-0777,http://crowellpubliclibrary.org,4,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"12,961","28,454","6,127",1,0,0,1,"29,000","$1,326,663 ",$0 ,$0 ,"$110,396 ","$1,437,059 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$753,161 ","$269,640 ","$1,022,801 ","$51,231 ","$10,638 ","$61,869 ","$34,851 ","$4,000 ","$100,720 ","$209,010 ","$1,332,531 ",$0 ,34,5,5,13.69,18.69,0.42,"31,838","5,573","78,853","4,355","3,035",11,"86,254",100,"14,929","3,524",239,14,1,15,175,"8,100",Annual Count,"1,218",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,No,No,"28,511","3,387",139,7,0,"46,543","12,778","39,124",,"51,902","98,445",No,171,"2,955",48,690,,0,0,,,,,,,,,,,,,,12,12,,,138,138,,,69,69,,,881,881,,,42,42,,,"1,246","1,246",,,1,169,-1,-1,-1,No,323,Annual Count,"78,181","1,795",Annual Count,40,2,332,Summer and winter reading programs using Beanstack.,CA0119,20-21
DALY CITY PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,111 LAKE MERCED BOULEVARD,DALY CITY,94015,1048,(650) 991-8023,(650) 991-8023,http://www.dalycity.org/library,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"108,599","38,083","6,803",1,3,0,4,"38,300","$3,928,749 ","$8,000 ",$0 ,"$49,237 ","$3,985,986 ","$1,008,905 ",$0 ,$0 ,$0 ,"$1,008,905 ","$1,374,739 ","$875,850 ","$2,250,589 ","$123,422 ","$12,208 ","$135,630 ","$63,480 ","$14,153 ","$213,263 ","$1,346,150 ","$3,810,002 ","$374,800 ",37,6.18,8,12.7,20.7,0,"75,121","8,978","192,809","11,612","20,306",166,"224,893",207,"182,750","11,020","38,373",16,6,22,451,"11,614",Annual Count,-1,,Yes,$0.25 ,$0.15 ,$0.15 ,Yes,Yes,"124,277","5,173","95,754","35,941",426,"230,729","65,975","3,725",,"69,700","300,429",Yes,249,"3,774",196,"2,209",,135,4,131,,"1,396",876,520,,61,16,45,,813,520,293,,33,5,28,,"1,119",660,459,,20,0,20,,446,0,446,,0,0,0,,0,0,0,25,"3,990",99,"2,716",596,No,"1,102",Annual Count,"83,261","75,305",Annual Count,25,5,"1,290",Take-and-make craft and STEM kits to accompany virtual programs and gardening kits,CA0031,20-21
DEL NORTE COUNTY LIBRARY DISTRICT,Del Norte,Special District Library,County/Parish (exactly),Member of a Federation or Cooperative,Library District,NorthNet Library System,190 PRICE MALL,CRESCENT CITY,95531,4395,(707) 464-9793,(707) 464-9794,http://www.delnortecountylibrary.org,"1,003.00",Yes,Yes,No,Yes,Yes,No,Yes,No,"26,949","26,400","1,320",1,1,0,2,"6,850","$258,950 ","$26,988 ",$0 ,"$1,160 ","$287,098 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$175,296 ","$4,016 ","$179,312 ","$10,556 ",$861 ,"$11,417 ","$7,220 ",$0 ,"$18,637 ","$132,900 ","$330,849 ",$0 ,11,0,0,4.35,4.35,20,"11,009","2,297","48,776","1,762","5,172",0,"55,710",20,"4,496","1,669",2,2,0,2,"1,598","16,334",Annual Estimate Based on Typical Week(s),235,Annual Estimate Based on Typical Week(s),No,,,,Yes,No,"5,668",-1,0,0,-1,"38,570","6,918",-1,,"6,918","45,488",No,51,771,23,344,,,,,,,,,,,,,,,,,1,1,,,18,18,,,9,9,,,89,89,,,18,18,,,320,320,,,12,72,0,0,0,Yes,"1,500",Annual Estimate Based on Typical Week(s),-1,-1,,13,12,48,"Summer Reading Program Activities Weird Science Slime making Rock Painting, Puppet Show, Smokey the Bear visit ",CA0032,20-21
DOWNEY CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,11121 BROOKSHIRE AVE.,DOWNEY,90241,3860,(562) 904-7360,(562) 904-7364,http://www.downeylibrary.org,13,Yes,Yes,Yes,No,No,No,Yes,No,"111,425","89,525","18,526",1,0,0,1,"27,400","$2,087,386 ","$18,933 ","$321,687 ","$17,062 ","$2,445,068 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$621,287 ","$315,408 ","$936,695 ","$66,195 ",$0 ,"$66,195 ","$91,115 ",$0 ,"$157,310 ",$0 ,"$1,094,005 ",$0 ,30,2,3,16,19,5,"30,479","3,969","70,324","2,155","2,997",0,"75,476",0,"3,837",566,0,0,1,1,383,"11,629",Annual Count,-1,Annual Count,Yes,$0.15 ,$0.15 ,$0.15 ,No,No,"16,870","1,127",0,0,-1,"22,831","28,892",-1,,"28,892","51,723",Yes,14,"1,075",13,"1,047",,3,3,0,,491,491,0,,10,3,7,,556,171,385,,0,0,0,,0,0,0,,1,0,1,,28,0,28,,0,0,0,,0,0,0,1,81,80,"1,140",-1,Yes,944,Annual Count,"100,013","54,740",Annual Count,25,-1,-1,,CA0034,20-21
EL CENTRO PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,1140 N. IMPERIAL AVE.,EL CENTRO,92243,2973,(760) 337-4565,(760) 337-4565,http://www.cityofelcentro.org/library/,8,Yes,Yes,Yes,Yes,Yes,No,No,No,"44,997","6,303",184,1,1,0,2,"14,163","$721,613 ","$8,050 ",$0 ,$0 ,"$729,663 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$287,480 ","$146,938 ","$434,418 ","$40,000 ","$5,345 ","$45,345 ","$16,420 ","$16,832 ","$78,597 ","$87,383 ","$600,398 ",$0 ,10,1,1,10,11,8,"30,796","1,163","82,960",535,"1,736",0,"85,231",80,0,0,0,4,1,5,993,"5,073",Annual Count,121,Annual Count,Yes,$0.26 ,$0.26 ,$0.26 ,No,No,"4,881",577,0,0,292,"9,170",0,-1,,0,"9,170",Yes,112,"4,668",100,"4,512",,52,2,50,,483,40,443,,48,0,48,,"4,029",0,"4,029",,6,6,0,,66,66,0,,6,6,0,,90,90,0,,0,0,0,,0,0,0,9,422,16,483,"3,512",Yes,"1,026",Annual Count,0,0,Annual Count,24,43,"3,655","Craft activities packets, activities booklets, coloring sheets, word search, games, puzzles and book give away.",CA0035,20-21
EL DORADO COUNTY LIBRARY,El Dorado,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,345 FAIR LANE,PLACERVILLE,95667,5699,(530) 621-5540,(530) 621-5545,http://www.eldoradolibrary.org/,"1,725.90",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"195,362","101,856","24,877",1,5,1,7,"67,384","$2,951,971 ","$341,871 ","$17,979 ","$310,635 ","$3,622,456 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,786,075 ","$1,049,544 ","$2,835,619 ","$156,290 ","$15,401 ","$171,691 ","$20,811 ","$18,191 ","$210,693 ","$576,143 ","$3,622,455 ",$0 ,46,4,4,31.85,35.85,0.5,"80,039","16,502","290,873","14,605","15,673",404,"321,555",168,"97,869","19,755",301,0,3,3,"7,466","276,191",Annual Estimate Based on Typical Week(s),"3,400",Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.25 ,No,Yes,"321,640","3,233","1,579","4,010",988,"593,598","110,889",-1,,"110,889","704,487",No,112,"5,214",64,"3,853",22,22,,,"2,022","2,022",,,42,42,,,"1,831","1,831",,,8,8,,,68,68,,,40,40,,,"1,293","1,293",,,,,,,,,,,0,0,-1,-1,-1,No,"12,816",Annual Estimate Based on Typical Week(s),"139,691","193,218",Annual Count,44,-1,-1,,CA0036,20-21
EL SEGUNDO PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,111 W. MARIPOSA AVE.,EL SEGUNDO,90245,2299,(310) 524-2722,(310) 524-2728,https://elsegundolibrary.org,5,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"16,660","14,769","2,552",1,4,0,5,"42,021","$1,783,414 ","$27,161 ",$0 ,"$8,848 ","$1,819,423 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,328,039 ","$561,119 ","$1,889,158 ","$93,455 ","$7,429 ","$100,884 ","$42,838 ","$1,498 ","$145,220 ","$263,698 ","$2,298,076 ",$0 ,25,5,5,12.6,17.6,0.5,"69,860","7,712","111,046","5,219","3,941",0,"120,206",79,"26,414","7,756","30,030",9,6,15,"4,802","9,212",Annual Count,"6,565",Annual Count,Yes,$0.25 ,$0.00 ,$0.00 ,No,No,"48,534",126,7,9,0,"70,594","15,039","106,022",,"121,061","191,655",Yes,35,572,5,112,,1,1,0,,60,60,0,,4,1,3,,52,5,47,,0,0,0,,0,0,0,,30,0,30,,460,0,460,,0,0,0,,0,0,0,0,0,114,"22,655",0,No,552,Annual Count,"87,854","1,036",Annual Count,50,159,"4,057",Distributed craft and STEM kits,CA0037,20-21
ESCONDIDO PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,239 S. KALMIA ST.,ESCONDIDO,92025,4224,(760) 839-4601,(760) 839-4839,http://www.escondidolibrary.org,37,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"151,688","71,232","12,395",1,0,0,1,"45,000","$1,953,940 ","$103,821 ","$12,000 ","$14,226 ","$2,083,987 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,201,046 ","$432,376 ","$1,633,422 ","$125,524 ","$7,451 ","$132,975 ","$105,120 ",$0 ,"$238,095 ","$453,520 ","$2,325,037 ",$0 ,28,7,7,15.5,22.5,2.32,"32,266","8,255","89,282","3,540","21,026",215,"114,063",97,"6,247","1,023",0,19,3,22,"1,530","77,604",Annual Count,"42,917",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,No,No,"132,162","9,294",0,84,390,"312,907","84,194","4,174",,"88,368","401,275",Yes,355,"5,475",139,"2,175",,,,,,,,,,,,,,,,,8,16,0,8,43,86,0,43,,200,0,200,,"3,214",0,"3,214",0,0,,,0,0,,,45,"1,313",223,"11,598",0,Yes,"8,555",Annual Count,"206,660","34,352",Annual Count,96,0,0,,CA0038,20-21
FOLSOM PUBLIC LIBRARY,Sacramento,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,411 STAFFORD ST,FOLSOM,95630,2643,(916) 461-6137,(916) 461-6131,http://folsom.ca.us/library,22,Yes,Yes,Yes,Yes,Yes,No,No,No,"82,303","32,492","5,482",1,0,0,1,"24,000","$1,788,750 ","$32,566 ",$0 ,"$17,349 ","$1,838,665 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$759,872 ","$605,828 ","$1,365,700 ","$153,405 ","$2,955 ","$156,360 ","$15,000 ","$26,095 ","$197,455 ","$275,519 ","$1,838,674 ",$0 ,18,3,4,9,13,0.5,"46,219","3,543","84,078","3,679","10,096",132,"97,985",42,"41,130","18,145",299,13,4,17,"1,059","84,556",Annual Count,"2,180",Annual Count,Yes,$0.25 ,$0.25 ,$0.05 ,No,No,"231,903","2,662","66,404","70,315",587,"366,015","72,546","5,678",,"78,224","444,239",No,170,"57,261",148,"57,111",137,137,,,"49,698","49,698",,,11,11,,,"7,413","7,413",,,5,5,,,48,48,,,17,17,,,102,102,,,0,0,,,0,0,,,1,6,101,"53,867",-1,Yes,"2,911",Annual Count,"118,033",-1,,25,0,0,,CA0193,20-21
FRESNO COUNTY PUBLIC LIBRARY,Fresno,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,2420 MARIPOSA ST.,FRESNO,93721,2285,(559) 600-6237,(559) 600-7323,http://www.fresnolibrary.org,"4,999.48",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"1,002,529","174,132","27,379",1,36,2,39,"285,371","$38,259,753 ","$228,596 ","$397,388 ","$876,577 ","$39,762,314 ",$0 ,$0 ,$0 ,"$3,360 ","$3,360 ","$10,825,289 ","$9,656,091 ","$20,481,380 ","$535,884 ",$0 ,"$535,884 ","$1,451,169 ","$543,865 ","$2,530,918 ","$6,916,340 ","$29,928,638 ","$9,865 ",304,54,54,216.35,270.35,0,"253,959","55,372","643,721","69,741","86,734",241,"800,437",0,"72,848","34,809",822,18,3,21,"17,710",-1,Annual Estimate Based on Typical Week(s),753,Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,No,No,"414,387","22,636",2,765,"15,925","1,208,302","828,596","523,120",,"1,351,716","2,560,018",Yes,880,"22,667",597,"14,045",,146,47,99,,"4,257","3,126","1,131",,451,382,69,,"9,788","8,860",928,,169,18,151,,"2,191",908,"1,283",,114,68,46,,"6,431","3,698","2,733",,0,0,0,,0,0,0,19,936,176,"4,995",404,Yes,0,Annual Count,"1,302,124","18,776",Annual Count,371,"1,140","25,743",Take and Make craft bags given to participating patrons. ,CA0040,20-21
FULLERTON PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,353 W. COMMONWEALTH AVE.,FULLERTON,92832,1796,(714) 738-6380,(714) 738-6326,www.fullertonlibrary.org,22,Yes,Yes,Yes,Yes,Yes,No,No,No,"139,431","65,535","13,103",1,0,0,1,"62,553","$3,496,413 ","$48,788 ",$0 ,"$74,918 ","$3,620,119 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,269,339 ","$641,601 ","$1,910,940 ","$124,275 ","$6,671 ","$130,946 ","$76,057 ","$5,543 ","$212,546 ","$1,363,210 ","$3,486,696 ",$0 ,25,12,12,8.25,20.25,1,"83,790","2,176","176,323","3,924","13,627",0,"193,874",,"8,932","3,111",0,23,3,26,556,"28,344",Annual Count,"10,717",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,No,No,"114,015",-1,186,17,0,"158,943","81,111","3,475",,"84,586","243,529",Yes,18,0,18,0,,18,18,0,,0,,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,115,"4,191",0,Yes,0,Annual Count,"818,288","1,523",Annual Count,0,7,793,take-home kits,CA0041,20-21
"GLENDALE LIBRARY, ARTS & CULTURE",Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,222 E. HARVARD ST.,GLENDALE,91205,1075,(818) 548-2030,(818) 548-2021,http://glendalepubliclibrary.org,31,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"203,834","284,644","46,381",1,7,0,8,"155,862","$11,125,372 ","$97,754 ","$20,500 ","$437,264 ","$11,680,890 ","$110,692 ",$0 ,$0 ,$0 ,"$110,692 ","$4,819,508 ","$2,354,414 ","$7,173,922 ","$462,736 ",$0 ,"$462,736 ","$430,373 ","$54,678 ","$947,787 ","$2,777,949 ","$10,899,658 ","$155,852 ",130,24.79,27.79,44.36,72.15,0.79,"128,983","10,485","410,980","53,765","25,728","1,882","492,355",0,"857,068","666,938","21,684",61,3,64,"1,318","17,732",Annual Count,"10,721",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,Yes,Yes,"126,353","11,107","20,905",348,"1,207","253,715","167,068","529,751",,"696,819","950,534",Yes,223,"3,336",60,"1,629",,36,0,36,,801,0,801,,24,17,7,,828,590,238,,3,0,3,,33,0,33,,157,0,157,,"1,559",0,"1,559",,3,0,3,,115,0,115,42,"5,144",415,"5,598",973,Yes,"5,004",Annual Count,"237,549","132,107",Annual Count,102,97,"40,220","These activities include online reading challenges, grab & go craft kits, online art exhibits and activity booklets. ",CA0042,20-21
GLENDORA LIBRARY & CULTURAL CENTER,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,140 SOUTH GLENDORA AVE.,GLENDORA,91741,3499,(626) 852-4891,(626) 852-4891,http://www.glendoralibrary.org,19,Yes,Yes,Yes,Yes,Yes,No,No,No,"51,540","26,110","3,794",1,0,0,1,"30,000","$2,319,966 ","$30,638 ",$0 ,"$182,094 ","$2,532,698 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$950,389 ","$270,188 ","$1,220,577 ","$52,314 ","$11,449 ","$63,763 ","$85,773 ","$7,470 ","$157,006 ","$616,720 ","$1,994,303 ","$6,238 ",31,7.11,7.11,13.15,20.26,0.57,"22,932","4,017","76,758","8,187","7,012",0,"91,957",177,"182,198","9,615",212,26,6,32,684,"20,613",Annual Count,"9,863",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,No,No,"35,492",75,213,87,0,"65,839","40,718","71,857",,"112,575","178,414",Yes,370,"5,870",275,"4,495",,29,29,0,,434,434,0,,246,30,216,,"4,061","1,837","2,224",,48,0,48,,611,0,611,,25,1,24,,467,21,446,,22,2,20,,297,23,274,49,"2,083",21,"1,444",0,No,"1,124",Annual Count,"100,940","439,474",Annual Count,16,33,"3,265",To-go crafts Story stroll,CA0043,20-21
GOLETA VALLEY LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,City/County,Black Gold Cooperative Library System,500 N. FAIRVIEW AVE.,GOLETA,93117,1797,(805) 964-7878,(805) 964-7878,https://www.cityofgoleta.org/city-hall/goleta-valley-library,,Yes,Yes,Yes,Yes,Yes,No,No,No,"103,106","20,046","2,011",1,2,0,3,"19,205","$2,155,796 ","$200,000 ",$0 ,"$90,168 ","$2,445,964 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,063,652 ","$310,723 ","$1,374,375 ","$101,610 ",$0 ,"$101,610 ","$105,476 ","$235,859 ","$442,945 ","$576,477 ","$2,393,797 ",$0 ,30,3,3,18.5,21.5,0,"44,263","3,081","89,486","9,039","17,278",209,"116,012",70,"161,899","22,983","7,976",0,4,4,300,"5,341",Annual Count,"10,888",Annual Estimate Based on Typical Week(s),No,,,,No,Yes,"104,637","1,841","2,276","2,833",261,"208,811","142,548","6,437","351,359","148,985","357,796",Yes,505,"4,041",322,"1,943",,222,0,222,,830,0,830,,100,2,98,,"1,113",12,"1,101",,57,0,57,,311,0,311,,112,1,111,,"1,666",254,"1,412",,14,0,14,,121,0,121,1,254,404,986,"1,259",No,796,Annual Estimate Based on Typical Week(s),"56,294","9,104",Annual Count,34,24,"6,071","Take home craft kits, take home genre story book kits, a variety of at home contestants and social media programs with a craft aspect",CA0271,20-21
