FiscalYear,Location,County,LibraryType,GeographicCode,InterlibraryRelationshipcode,LegalBasisCode,CLSASystemLibrary,StreetAddress,City,Zip,Zip4,LibrarysWebAddress,PopulationofTheLegalServiceArea,RegisteredUsersasofJune30,ChildrenBorrowers,NumofCentralLibraries,NumofBranchLibraries,NumofBookmobiles,NumofOutlets,LibraryVisits,HoursOpenAllOutlets,Totalpersonsemployed,NumofLibrarianFTEs,FTEAllotherpaidstaff,NumofALAMLSLibrarianFTEs,TotalOperatingIncome,LocalGovernmentIncome,StateIncome,FederalIncome,CapitalOutlayIncomefromLocalSources,CapitalOutlayIncomefromStateSources,CapitalOutlayIncomefromFederalSources,CapitalOutlayIncomefromOtherSources,TotalCapitalOutlayIncome,OtherOperatingIncome,TotalOperatingExpenditures,TotalCollectionExpenditures,PrintMaterialsExpenditures,PrintSerialSubscriptionExpenditures,ElectronicMaterialsExpenditures,OtherMaterialsExpenditures,TotalPrintMaterialsExpenditures,SalaryWagesExpenditures,EmployeeBenefitsExpenditures,TotalStaffExpenditures,TotalCapitalExpenditures,AllOtherOperatingExpenditures,BooksChildrenHeld,BooksYoungAdultHeld,NumofPhysicalAudioMaterials,NumofPhysicalVideoMaterials,NumofCurrentSerialSubscriptions,NumofElectronicBooks,NumofElectronicCollections,TotalPrintMaterialsHeld,NumofDownloadableAudioMaterials,NumofDownloadableVideoMaterials,CirculationofNonEnglishMaterials,CirculationofElectronicMaterials,ILLloanstoothers,ILLloansreceived,ReferenceQuestions,NumofPrograms,NumofYoungAdultPrograms,YoungAdultProgramAttendance,ChildrensProgramAttendance,TotalProgramAttendance,NumofAdultPrograms,AdultProgramAttendance,CIPACompliant,AnnualUsesofPublicInternetComputers,NumofInternetTerminals,Websitevisits,FSCSID,NumofChildrensPrograms
16-17,REDONDO BEACH PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,303 N. PACIFIC COAST HWY,REDONDO BEACH,90277,2838,http://redondo.org/library,"68,907","78,015","7,436",1,1,0,2,"338,438","4,762",62,10,18,10,"$4,593,820 ","$4,513,566 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$80,254 ","$4,791,550 ","$277,984 ","$108,791 ","$14,535 ","$109,272 ","$45,386 ","$123,326 ","$1,568,099 ","$450,055 ","$2,018,154 ",$0 ,"$2,495,412 ","60,651","7,390","22,447","20,320",229,"210,459",15,"165,957","334,420","33,944","8,031","37,082",104,26,"36,523",650,26,575,"10,146","12,784",122,"2,063",No,"4,374",22,"323,358",CA0100,251
16-17,REDWOOD CITY PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1044 MIDDLEFIELD RD,REDWOOD CITY,94063,1868,http://www.redwoodcity.org/library,"85,601","65,467","17,187",1,2,0,4,"801,297","10,816",102,14.33,39.79,11.81,"$8,914,291 ","$8,424,250 ","$162,848 ","$85,474 ","$204,600 ",$0 ,$0 ,$0 ,"$204,600 ","$241,719 ","$8,927,396 ","$577,415 ","$287,745 ","$24,750 ","$146,235 ","$118,685 ","$312,495 ","$4,263,324 ","$1,885,617 ","$6,148,941 ","$104,768 ","$2,201,040 ","104,948","11,479","16,138","27,801",264,"302,912",29,"202,516","11,594","3,045","40,601","95,218","81,636","81,565","129,038","15,905",828,"7,715","200,268","224,639","1,271","16,656",No,"71,013",145,"111,506",CA0101,"6,903"
16-17,RICHMOND PUBLIC LIBRARY,Contra Costa,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,325 CIVIC CENTER PLAZA,RICHMOND,94804,1659,http://www.richmondlibrary.org,"111,785","85,884","26,132",1,2,1,3,,"4,423",63,10,32,10,"$4,998,003 ","$4,499,964 ","$114,396 ","$146,492 ","$261,645 ",$0 ,$0 ,$0 ,"$261,645 ","$237,151 ","$4,917,365 ","$319,247 ","$234,697 ","$9,250 ","$35,000 ","$40,300 ","$243,947 ","$2,507,719 ","$1,547,810 ","$4,055,529 ",$0 ,"$542,589 ","56,634","6,690","3,803","12,302",185,"5,720",2,"143,605","1,136",0,"12,161","6,710","4,736","4,691",,"1,436",114,885,"14,655","16,110",54,570,Yes,"45,369",47,"21,864",CA0102,634
16-17,RIVERSIDE COUNTY LIBRARY SYSTEM,Riverside,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Inland Library System,5840 MISSION BLVD,JURUPA VALLEY,92509,3650,http://www.rivlib.net,"1,267,388","797,395","84,099",0,35,2,38,"3,606,142","71,784",356,53,187,36,"$24,739,183 ","$15,786,786 ","$8,218,023 ","$18,357 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$716,017 ","$23,390,891 ","$1,163,310 ","$731,176 ","$39,304 ","$352,070 ","$40,760 ","$770,480 ",$0 ,$0 ,$0 ,"$10,323 ","$22,227,581 ","331,924","67,780","57,013","71,900",880,"4,783",24,"1,066,700","7,631",0,"99,776","115,800","82,892","88,582","479,917","9,606",846,"7,370","63,042","96,495","2,830","26,083",Yes,"415,186",613,"780,394",CA0199,"2,965"
16-17,RIVERSIDE PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,3581 MISSION INN AVE.,RIVERSIDE,92501,3377,http://www.riversideca.gov/library/,"326,792","259,106","39,344",1,7,0,8,"837,059","20,202",64,8,52.25,7,"$6,311,399 ","$5,453,070 ","$116,010 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$742,319 ","$6,311,409 ","$317,966 ","$247,000 ","$13,880 ","$41,316 ","$15,770 ","$260,880 ","$3,248,798 ","$1,433,681 ","$4,682,479 ",$0 ,"$1,310,964 ","141,852","20,948","14,690","27,008",127,"77,184",1,"402,463",776,0,"21,250","11,681",0,154,"145,923","1,631",251,"2,614","39,778","44,099",213,"1,707",Yes,"254,599",308,"1,844,143",CA0103,"1,167"
16-17,ROSEVILLE PUBLIC LIBRARY,Placer,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,225 TAYLOR ST.,ROSEVILLE,95678,2681,http://www.roseville.ca.us/library,"135,868","101,943","27,505",1,2,0,3,"517,349","7,392",69,13.75,27,7.75,"$3,682,897 ","$3,459,564 ","$28,328 ",$0 ,"$273,809 ",$0 ,$0 ,$0 ,"$273,809 ","$195,005 ","$3,560,095 ","$218,384 ","$112,960 ","$5,918 ","$71,797 ","$27,709 ","$118,878 ","$2,025,226 ","$913,959 ","$2,939,185 ","$159,584 ","$402,526 ","64,599","10,625","8,739","10,555",107,"7,860",14,"142,567","2,313",0,"3,943","41,763",81,94,"58,072","2,277",61,440,"44,938","46,874",224,"1,496",Yes,"70,306",99,"1,105,053",CA0104,996
16-17,SACRAMENTO PUBLIC LIBRARY,Sacramento,Joint Powers Authority,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,828 I ST.,SACRAMENTO,95814,2508,http://www.saclibrary.org,"1,436,245","692,508","109,205",1,27,2,28,"3,625,829","51,940",285.5,88.5,197,78.5,"$40,352,938 ","$37,026,034 ","$76,801 ","$452,008 ","$1,715,170 ",$0 ,$0 ,$0 ,"$1,715,170 ","$2,798,095 ","$38,546,983 ","$5,035,000 ","$2,108,300 ","$167,000 ","$2,327,500 ","$432,200 ","$2,275,300 ","$19,176,512 ","$4,613,552 ","$23,790,064 ","$1,715,170 ","$9,721,919 ","429,943","76,869","64,440","103,712","1,802","95,521",42,"1,219,822","36,337","2,488","110,788","1,009,273","148,794","107,093","143,500","12,914",839,"14,414","161,049","205,569","2,423","30,106",Yes,"530,279",748,"6,227,458",CA0105,"4,826"
16-17,SALINAS PUBLIC LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,350 LINCOLN AVE.,SALINAS,93901,2692,http://www.salinaspubliclibrary.org,"162,470","64,626","24,792",1,2,1,3,"435,986","7,789",84,15,28.5,9,"$5,032,213 ","$4,948,081 ","$84,132 ",$0 ,"$107,945 ",$0 ,$0 ,$0 ,"$107,945 ",$0 ,"$4,857,560 ","$327,697 ","$124,389 ","$15,628 ","$146,886 ","$40,794 ","$140,017 ","$2,356,980 ","$1,697,581 ","$4,054,561 ","$416,272 ","$475,302 ","63,802","9,358","6,716","10,710",210,"271,221",14,"161,222","324,820","31,735","34,973","3,731",0,0,"34,608","2,888",67,909,"28,677","30,369",117,783,Yes,"116,686",124,"156,471",CA0106,"1,352"
16-17,SAN ANSELMO PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,110 TUNSTEAD AVE.,SAN ANSELMO,94960,2617,http://sananselmolibrary.org,"12,937","7,331","1,345",1,0,0,1,"99,417","2,514",6,3,3,3,"$876,328 ","$854,780 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$21,548 ","$871,917 ","$121,145 ","$82,325 ","$8,200 ","$25,620 ","$5,000 ","$90,525 ","$443,416 ","$167,833 ","$611,249 ",$0 ,"$139,523 ","13,960","1,043","2,062","2,722",107,"296,414",29,"41,295","5,000","23,872",348,"11,037","35,738","20,104","35,152",635,14,249,"15,479","17,215",107,"1,487",No,"14,056",4,"9,574",CA0107,257
16-17,SAN BENITO COUNTY FREE LIBRARY,San Benito,County Library General Fund,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,470 FIFTH ST.,HOLLISTER,95023,3885,www.sbcfl.org,"54,998","31,799","14,954",1,0,1,1,"95,199","2,220",14,3,6.18,2,"$941,205 ","$871,702 ","$23,528 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$45,975 ","$959,791 ","$102,721 ","$50,750 ","$3,345 ","$29,086 ","$19,540 ","$54,095 ","$470,490 ","$162,664 ","$633,154 ",$0 ,"$223,916 ","29,995","5,105",996,"3,868",22,"42,240",30,"93,841","3,203",0,"5,300",319,392,318,"6,400",933,6,80,"11,205","11,755",55,470,No,"27,229",23,"91,416",CA0108,436
16-17,SAN BERNARDINO COUNTY LIBRARY,San Bernardino,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Inland Library System,777 EAST RIALTO AVE,SAN BERNARDINO,92415,35,www.sbclib.org,"1,267,592","606,039","88,356",0,32,0,32,"2,850,066","66,778",298,31,156,8,"$18,167,086 ","$16,124,049 ","$97,762 ","$12,365 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,932,910 ","$16,835,640 ","$2,985,656 ","$2,451,586 ","$30,468 ","$503,602 ",$0 ,"$2,482,054 ","$5,072,724 ","$1,572,382 ","$6,645,106 ",$0 ,"$7,204,878 ","475,868","109,937","44,211","63,938",725,"29,129",29,"1,132,727","8,908","3,027","68,382","294,737","17,920","22,984",-1,"11,371",427,"8,406","210,232","242,397","1,786","23,759",Yes,"693,583",795,"1,134,178",CA0109,"4,579"
16-17,SAN BERNARDINO PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,555 W. SIXTH ST.,SAN BERNARDINO,92410,3094,http://www.sbpl.org,"216,972","36,760","6,267",1,3,0,4,"240,744","5,044",33,4,16.8,4,"$1,908,356 ","$1,643,143 ","$58,352 ","$105,861 ","$107,803 ",$0 ,"$526,197 ",$0 ,"$634,000 ","$101,000 ","$1,908,356 ","$118,000 ","$50,000 ","$14,000 ","$54,000 ",$0 ,"$64,000 ","$1,025,766 ","$343,690 ","$1,369,456 ","$634,000 ","$420,900 ","63,296","7,340","1,131","10,977",190,"1,739",11,"196,576",518,0,"7,110","3,327",92,6,"50,364",843,18,192,"9,659","10,906",51,"1,055",Yes,"47,501",88,,CA0110,387
16-17,SAN BRUNO PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,701 ANGUS AVE. W.,SAN BRUNO,94066,3490,http://www.sanbrunolibrary.org,"45,295","20,901","4,291",1,0,0,1,"179,150","2,429",18,5,2.5,5,"$2,185,881 ","$2,119,077 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$66,804 ","$2,093,584 ","$178,527 ","$104,867 ","$11,194 ","$33,771 ","$28,695 ","$116,061 ","$850,343 ","$396,912 ","$1,247,255 ",$0 ,"$667,802 ","29,637","2,128","8,117","10,870",152,"122,522",16,"75,369","11,368",0,"5,189","16,765","58,362","26,794","24,943",723,5,104,"9,569","9,863",64,190,Yes,"21,315",17,"37,970",CA0111,327
16-17,SAN DIEGO COUNTY LIBRARY,San Diego,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Serra Cooperative Library System,"5560 OVERLAND AVE., SUITE 110",SAN DIEGO,92123,1204,http://www.sdcl.org,"1,114,526","1,095,790","244,272",0,24,2,33,"5,477,924","90,129",282,82,176,79,"$41,351,882 ","$39,750,132 ","$243,731 ","$103,784 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,254,235 ","$39,810,610 ","$5,825,005 ","$2,909,768 ","$141,907 ","$1,238,852 ","$1,534,478 ","$3,051,675 ","$13,663,428 ","$10,244,621 ","$23,908,049 ",$0 ,"$10,077,556 ","490,861","67,969","91,737","224,740","3,943","27,559",26,"1,002,979","6,953",16,"192,354","1,027,987","17,076","78,747","340,000","49,815","3,212","36,580","458,357","700,215","14,759","205,278",Yes,"664,241",793,"2,860,321",CA0112,"15,922"
16-17,SAN DIEGO PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,330 PARK BLVD,SAN DIEGO,92101,7416,http://www.sandiego.gov/public-library,"1,406,318","841,825","64,999",1,35,0,36,"6,591,169","91,315",771,125.57,350.29,109.5,"$54,080,757 ","$46,293,499 ","$633,989 ","$99,150 ",$0 ,$0 ,"$100,633 ","$6,000,000 ","$6,100,633 ","$7,054,119 ","$49,421,828 ","$2,905,622 ","$1,485,465 ","$327,417 ","$710,474 ","$382,266 ","$1,812,882 ","$20,278,959 ","$15,197,005 ","$35,475,964 ","$4,910,342 ","$11,040,242 ","676,458","134,072","162,447","166,036","3,591","104,880",52,"2,491,161","10,346",0,"261,741","239,432","14,156","11,343","1,007,692","22,363",0,0,"289,715","465,180","10,161","175,465",Yes,"903,967","1,172","11,451,560",CA0113,"12,202"
16-17,SAN FRANCISCO PUBLIC LIBRARY,San Francisco,Municipal Library,County/Parish (exactly),Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,100 LARKIN ST,SAN FRANCISCO,94102,4705,http://sfpl.org,"874,228","428,427","68,265",1,27,4,28,"6,210,525","70,895",872,207,476,207,"$133,925,864 ","$132,721,569 ","$61,901 ",$0 ,"$11,580 ",$0 ,$0 ,$701 ,"$12,281 ","$1,142,394 ","$125,434,276 ","$14,406,301 ","$5,767,390 ","$873,863 ","$5,384,653 ","$2,380,395 ","$6,641,253 ","$51,784,939 ","$28,322,960 ","$80,107,899 ","$1,261,463 ","$30,920,076 ","591,935","87,935","86,382","240,160","6,945","165,960",219,"2,225,865","204,749","51,669","1,107,987","2,312,818","48,947","35,568","669,264","16,926","1,868","24,850","386,305","491,151","5,089","79,996",No,"937,654","1,112","6,847,021",CA0114,"9,969"
16-17,SAN JOSE PUBLIC LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,150 E SAN FERNANDO STREET,SAN JOSE,95112,3580,http://www.sjlibrary.org,"1,046,079","539,789","98,175",1,23,0,24,"6,783,432","58,116",584,113.5,246.37,72,"$39,703,645 ","$38,310,856 ","$195,167 ","$10,351 ","$13,284,908 ",$0 ,$0 ,$0 ,"$13,284,908 ","$1,187,271 ","$38,734,392 ","$5,432,700 ","$2,943,234 ","$242,947 ","$1,252,989 ","$993,530 ","$3,186,181 ","$19,921,339 ","$10,201,929 ","$30,123,268 ","$16,653,875 ","$3,178,424 ","822,262","108,873","104,401","239,630","2,627","292,221",67,"1,698,925","63,162","15,523","885,011","629,855","20,867","18,907","643,032","17,888","1,190","17,498","339,218","426,224","5,220","69,508",No,"1,237,299","1,274","3,358,775",CA0115,"11,478"
16-17,SAN JUAN BAUTISTA CITY LIBRARY,San Benito,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,801 SECOND ST.,SAN JUAN BAUTISTA,95045,1420,http://www.san-juan-bautista.ca.us/city/library.htm,"1,856","3,550",28,1,0,0,1,"6,563","1,428",2,0,0.7,0,"$56,440 ","$56,440 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$56,362 ","$1,400 ",$400 ,"$1,000 ",$0 ,$0 ,"$1,400 ","$37,962 ",$0 ,"$37,962 ","$5,500 ","$17,000 ","1,900",292,116,913,9,0,0,"8,060",0,0,198,0,0,0,28,4,0,0,38,138,2,100,No,"1,458",9,0,CA0116,2
16-17,SAN LEANDRO PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,300 ESTUDILLO AVE.,SAN LEANDRO,94577,4706,http://www.sanleandrolibrary.org,"88,274","46,438","11,373",1,1,0,4,"885,120","6,729",61,20,19,18,"$4,804,586 ","$4,723,908 ","$39,678 ",$0 ,"$150,000 ",$0 ,$0 ,"$43,000 ","$193,000 ","$41,000 ","$4,089,329 ","$454,736 ","$305,095 ","$40,641 ","$52,000 ","$57,000 ","$345,736 ","$1,437,370 ","$2,071,423 ","$3,508,793 ",$0 ,"$125,800 ","90,628","11,264","13,913","19,557",377,"2,029",12,"302,977",536,0,"32,326","12,834",0,0,"66,395",900,76,"3,420","31,791","46,154",162,"10,943",Yes,"253,830",89,,CA0117,662
16-17,SAN LUIS OBISPO CITY-COUNTY LIBRARY,San Luis Obispo,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,Black Gold Cooperative Library System,995 PALM ST.,SAN LUIS OBISPO,93401,3218,http://slolibrary.org,"248,356","59,444","7,115",1,6,0,15,"828,266","22,152",80,18,54.5,15,"$9,697,933 ","$9,194,724 ","$116,000 ",$0 ,"$473,968 ",$0 ,$0 ,$0 ,"$473,968 ","$387,209 ","$9,673,839 ","$756,978 ","$397,795 ","$39,154 ","$82,347 ","$237,682 ","$436,949 ","$3,172,822 ","$2,725,874 ","$5,898,696 ","$473,968 ","$3,018,165 ","127,023","15,012","28,933","57,839",683,"95,701",13,"269,725","18,424","2,678","22,650","220,791","75,286","119,577","135,304","1,797",62,966,"35,254","42,533",428,"6,313",Yes,"90,024",65,"106,957",CA0118,"1,307"
16-17,CROWELL PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1890 HUNTINGTON DR.,SAN MARINO,91108,2542,http://crowellpubliclibrary.org,"13,467","30,430","4,297",1,0,0,1,"242,123","3,089",46,5.4,11.35,5.4,"$1,648,365 ","$1,543,150 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$105,215 ","$1,615,304 ","$147,855 ","$103,416 ","$7,386 ","$33,122 ","$3,931 ","$110,802 ","$910,991 ","$190,778 ","$1,101,769 ",$0 ,"$365,680 ","35,820","5,291","5,023","3,287",109,"7,111",19,"84,857","3,349",0,"23,042","5,516",113,70,"13,380",367,30,420,"5,916","10,607",162,"4,271",No,"42,551",40,"176,483",CA0119,175
16-17,SAN MATEO COUNTY LIBRARIES,San Mateo,Joint Powers Authority,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,125 LESSINGIA COURT,SAN MATEO,94402,4065,http://smcl.org,"283,572","169,566","44,456",0,12,1,13,"2,207,675","30,710",122,46.25,65.7,46.25,"$29,461,082 ","$26,392,340 ","$97,732 ",$0 ,"$265,878 ",$0 ,$0 ,$0 ,"$265,878 ","$2,971,010 ","$28,329,160 ","$2,944,070 ","$1,054,381 ","$169,696 ","$1,353,495 ","$366,498 ","$1,224,077 ","$10,788,417 ","$4,359,584 ","$15,148,001 ","$214,740 ","$10,237,089 ","218,297","15,113","53,756","68,103","8,952","2,024,069",37,"474,807","27,771","6,887","135,395","242,663","284,717","121,912","87,152","11,614","1,203","29,862","257,676","325,109","2,909","37,571",No,"327,955",394,"4,652,845",CA0120,"7,502"
16-17,SAN MATEO PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,55 WEST THIRD AVE,SAN MATEO,94402,1513,http://www.smplibrary.org,"107,344","68,637","16,700",1,2,0,3,"603,760","7,150",102,15.22,35.36,15.22,"$6,702,773 ","$6,160,826 ","$36,554 ",$0 ,"$1,001,369 ",$0 ,$0 ,$0 ,"$1,001,369 ","$505,393 ","$6,702,773 ","$579,659 ","$339,828 ","$41,100 ","$142,708 ","$56,023 ","$380,928 ","$3,334,866 ","$1,089,132 ","$4,423,998 ","$1,001,369 ","$1,699,116 ","84,591","10,125","20,021","20,758",387,"290,865",28,"271,630","53,467",0,"74,480","76,274","122,344","67,249","52,817","1,136",74,"1,374","39,050","45,206",309,"4,782",No,"130,123",128,"260,915",CA0121,753
16-17,SAN RAFAEL PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,1100 E ST.,SAN RAFAEL,94901,1900,http://www.srpubliclibrary.org,"60,842","26,505","4,421",1,1,0,2,"271,159","4,538",70,12,12,12,"$4,118,425 ","$4,066,863 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$51,562 ","$3,968,981 ","$275,712 ","$181,589 ","$11,779 ","$40,282 ","$42,062 ","$193,368 ","$1,816,174 ","$1,155,566 ","$2,971,740 ",$0 ,"$721,529 ","37,686","5,012","4,949","5,540",192,"275,474",43,"117,354","7,211","15,478","12,157","35,445","44,230","51,070","73,341","1,364",24,128,"19,527","28,516",693,"8,861",No,"36,930",26,"132,460",CA0122,647
16-17,SANTA ANA PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,26 CIVIC CENTER PLAZA,SANTA ANA,92701,4010,http://www.santa-ana.org/library,"341,341","135,621","42,652",1,1,0,4,"465,279","6,552",69,15,39,15,"$4,478,825 ","$3,992,625 ",$0 ,"$486,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,722,912 ","$233,742 ","$154,791 ","$7,507 ","$55,252 ","$16,192 ","$162,298 ","$2,451,465 ","$676,055 ","$3,127,520 ",$0 ,"$361,650 ","122,523","16,046","9,099","12,579",71,"78,056",38,"235,071",76,0,"91,640","5,751",173,35,"54,129","1,284",924,"18,748","8,459","27,845",72,638,Yes,"39,395",79,"120,654",CA0123,288
16-17,SANTA BARBARA PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,40 E. ANAPAMU ST.,SANTA BARBARA,93101,2722,http://sbplibrary.org,"237,129","59,444","7,115",1,1,0,7,"1,183,797","16,276",111,14.6,48.26,14.6,"$8,118,162 ","$7,155,783 ","$44,929 ","$86,844 ",$0 ,$0 ,$0 ,"$225,290 ","$225,290 ","$830,606 ","$7,298,038 ","$723,012 ","$372,740 ","$23,829 ","$111,785 ","$214,658 ","$396,569 ","$3,050,164 ","$1,008,584 ","$4,058,748 ","$185,016 ","$2,516,278 ","95,605","6,619","22,699","32,271",355,"95,678",10,"223,078","19,119","3,210","40,054","206,110","76,599","100,287","99,112","2,793",121,"1,234","76,680","91,141",271,"13,227",No,"138,628",84,"448,210",CA0124,"2,401"
16-17,SANTA CLARA CITY LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,2635 HOMESTEAD ROAD,SANTA CLARA,95051,5322,http://sclibrary.org,"123,983","113,451","16,176",1,2,0,3,"1,253,435","7,302",122,20.45,49.98,20.45,"$10,225,714 ","$9,895,172 ","$103,999 ",$0 ,"$3,051,250 ",$0 ,$0 ,$0 ,"$3,051,250 ","$226,543 ","$9,014,009 ","$901,036 ","$578,208 ","$36,800 ","$153,035 ","$132,993 ","$615,008 ","$4,680,394 ","$2,076,785 ","$6,757,179 ","$221,654 ","$1,355,794 ","171,949","15,305","21,147","30,856",541,"274,769",41,"399,558","10,366,530","37,170","34,112","146,760","14,863","9,973","99,086","1,186",148,"5,085","53,393","98,321",487,"39,843",No,"112,480",206,"1,938,961",CA0125,551
16-17,SANTA CLARA COUNTY LIBRARY,Santa Clara,Joint Powers Authority,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,Pacific Library Partnership,1370 DELL AVENUE,CAMPBELL,95008,1817,http://www.sccl.org,"439,004","304,620","52,428",0,8,2,8,"3,225,359","23,046",370,86.26,182.7,82.26,"$47,212,371 ","$43,708,832 ","$83,203 ","$47,374 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,372,962 ","$45,055,915 ","$5,423,650 ","$2,526,158 ","$181,430 ","$1,371,555 ","$1,344,507 ","$2,707,588 ","$16,860,753 ","$10,836,828 ","$27,697,581 ",$0 ,"$11,934,684 ","929,130","64,957","151,665","274,407","2,410","107,832",86,"1,711,147","22,396",449,"594,422","520,317","1,426",632,"336,737","5,946",813,"19,022","160,920","227,040","2,167","47,098",No,"481,337",261,"2,628,509",CA0126,"2,966"
16-17,SANTA CLARITA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,23743 VALENCIA BLVD.,SANTA CLARITA,91355,2105,http://www.santaclaritalibrary.com,"216,350","136,847","35,721",0,3,0,3,"758,843","9,528",70,17.5,36.5,17.5,"$6,680,519 ","$6,415,945 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$264,574 ","$6,264,681 ","$753,508 ","$419,160 ","$12,757 ","$266,141 ","$55,450 ","$431,917 ","$129,893 ","$55,559 ","$185,452 ","$42,945 ","$5,325,721 ","136,309","12,120","16,237","27,105",189,"19,760",40,"304,033","3,802","1,190","10,292","130,817","176,776","127,614","68,553","2,436",363,"4,875","33,270","48,293",810,"10,148",Yes,"133,484",169,"196,003",CA0210,"1,263"
